"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"21","If bankers want to go gamble with complex financial products, ok – but they shouldn’t do it with the money in grandma’s checking account.",FALSE,5085,NA,2017-04-06 21:15:08,FALSE,NA,"850094544381243392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1183,FALSE,FALSE,NA,NA
"22","But let’s get real: Most of the big banks are even bigger now than when we declared them “too big to fail” in 2008 &amp; bailed them out.",FALSE,3534,NA,2017-04-06 21:13:58,FALSE,NA,"850094252537335808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",845,FALSE,FALSE,NA,NA
"23","We’ve made some real progress since Wall Street’s high-risk bets brought our economy to its knees.",FALSE,1768,NA,2017-04-06 21:13:16,FALSE,NA,"850094075319595008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",345,FALSE,FALSE,NA,NA
"24","If ever we needed a strong, independent Supreme Court with broad public support, it’s now. Rules change or not, we’ll keep fighting for it.",FALSE,7835,NA,2017-04-06 20:27:30,FALSE,NA,"850082557567827968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1629,FALSE,FALSE,NA,NA
"25","The GOP will be responsible for every 5-4 decision that throws working Americans under the bus to favor the powerful, moneyed few.",FALSE,13878,NA,2017-04-06 20:26:24,FALSE,NA,"850082283445006337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",4758,FALSE,FALSE,NA,NA
"26","The GOP will have to own every 5-4 case that opens the floodgates even more to secret spending in our political system.",FALSE,5212,NA,2017-04-06 20:25:18,FALSE,NA,"850082006105030656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1389,FALSE,FALSE,NA,NA
"27","The GOP will have to own every 5-4 attack on women’s rights, voting rights, LGBT rights, &amp; freedom of speech &amp; religion.",FALSE,12188,NA,2017-04-06 20:23:57,FALSE,NA,"850081663572987909",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",3936,FALSE,FALSE,NA,NA
"28","Changing the rules to jam through a right-wing, corporate-owned judge means the GOP will have to own the Gorsuch Court.",FALSE,13796,NA,2017-04-06 20:22:42,FALSE,NA,"850081351952990208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",4136,FALSE,FALSE,NA,NA
"29","I get that the GOP won’t pick a progressive. But if a SCOTUS nominee isn’t mainstream enough for 60 votes, he/she shouldn’t be confirmed.",FALSE,21639,NA,2017-04-06 20:21:44,FALSE,NA,"850081106284212229",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",6488,FALSE,FALSE,NA,NA
"30",".@SenJeffMerkley @DunkinDonuts .@SenJeffMerkley is one of the best, and I’m very glad to fight side-by-side with hi… https://t.co/4cq2tYBB0Z",FALSE,4619,"SenWarren",2017-04-05 15:57:55,TRUE,"849652153048281088","849652329875943424","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",840,FALSE,FALSE,NA,NA
"31",".@SenJeffMerkley I thought @SenJeffMerkley’s staff might need a sugar boost, so with Jeff on the phone, I dropped o… https://t.co/gQReAaRtbC",FALSE,5208,"SenWarren",2017-04-05 15:57:13,TRUE,"849651980771483649","849652153048281088","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",643,FALSE,FALSE,NA,NA
"32",".@SenJeffMerkley  is a champion for working families – and he showed it overnight when he spoke for more than 15 hours about Judge Gorsuch.",FALSE,16290,NA,2017-04-05 15:56:32,FALSE,NA,"849651980771483649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",3357,FALSE,FALSE,NA,NA
"33","Go, @SenJeffMerkley, Go! #StopGorsuch #HoldTheFloor https://t.co/J1Jamon1tl",FALSE,24387,NA,2017-04-05 00:58:18,FALSE,NA,"849425934218387456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",7306,FALSE,FALSE,NA,NA
"34",".@realDonaldTrump I’m heading to the Senate floor now to discuss why I oppose Neil Gorsuch &amp; why he should not be c… https://t.co/zJLvjM02Sy",FALSE,6182,"SenWarren",2017-04-04 20:04:38,TRUE,"849351408809906178","849352030640640007","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",902,FALSE,FALSE,NA,NA
"35","It’s clear that @realDonaldTrump’s Supreme Court nominee, Neil Gorsuch, doesn’t have enough support in the Senate to be confirmed.",FALSE,19432,NA,2017-04-04 20:02:10,FALSE,NA,"849351408809906178",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",4028,FALSE,FALSE,NA,NA
"36",".@VP On the Senate floor now to fight for Title X &amp; women’s health care centers. Watch: https://t.co/jc1R7EJJ9e",FALSE,2301,"SenWarren",2017-03-30 17:02:57,FALSE,"847494092611215360","847494369288441856","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",579,FALSE,FALSE,NA,NA
"37","Title X is a bipartisan program to provide birth control, cancer screenings &amp; HIV tests, &amp; @VP Pence cast the tiebreaking vote attacking it",FALSE,11201,NA,2017-03-30 17:01:52,FALSE,NA,"847494092611215360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",6938,FALSE,FALSE,NA,NA
"38","The GOP vote attacking family planning may deadlock. Will Trump really haul in @mike_pence to cast a historic vote against women’s health?",FALSE,9052,NA,2017-03-30 15:22:37,FALSE,NA,"847469117485465600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",3485,FALSE,FALSE,NA,NA
"39","About to speak on the Senate floor on how GOP will vote soon to make it harder for people save for retirement: https://t.co/0sDp4nDL38",FALSE,5533,NA,2017-03-29 21:13:30,FALSE,NA,"847195032176222208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1692,FALSE,FALSE,NA,NA
"40","I #StandWithPP because millions of women in MA &amp; across this country depend on Planned Parenthood for basic medical… https://t.co/mxnvK7XN4J",FALSE,18406,NA,2017-03-29 18:27:53,TRUE,NA,"847153353234829312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",5098,FALSE,FALSE,NA,NA
"41","The @CapitolPolice do heroic work keeping our visitors &amp; staff in DC safe. We thank them today &amp; every day.",FALSE,4317,NA,2017-03-29 15:49:47,FALSE,NA,"847113564959649792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",406,FALSE,FALSE,NA,NA
"42","Speaking on the Senate floor about how @realDonaldTrump still threatens to sabotage Americans’ health care. Watch: https://t.co/i7rPX8sPmK",FALSE,9573,NA,2017-03-27 20:45:31,FALSE,NA,"846463213613002752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",2664,FALSE,FALSE,NA,NA
"43","This is why we fight. When we get out there &amp; fight, we can make a real difference.",FALSE,11856,"SenWarren",2017-03-24 21:57:16,FALSE,"845393852219478022","845394106318774273","970207298","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SenWarren",2241,FALSE,FALSE,NA,NA
"44","But I'm not doing a touchdown dance today. Not when the GOP is still hell-bent on rigging the system for the rich &amp; powerful.",FALSE,14987,"SenWarren",2017-03-24 21:56:15,FALSE,"845393593254789121","845393852219478022","970207298","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SenWarren",2841,FALSE,FALSE,NA,NA
"45","Today is a great day for the people of Massachusetts &amp; people across the country who depend on the Affordable Care Act.",FALSE,28667,NA,2017-03-24 21:55:13,FALSE,NA,"845393593254789121",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SenWarren",4120,FALSE,FALSE,NA,NA
"46","The truth will come out, @GOP. Get on the right side of history before it's too late.",FALSE,43111,NA,2017-03-23 00:57:09,FALSE,NA,"844714598880169985",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",13884,FALSE,FALSE,NA,NA
"47","The idea that Devin Nunes will investigate Trump/Russia is a farce. It's time for a real, independent, transparent inquiry.",FALSE,60376,NA,2017-03-23 00:55:29,FALSE,NA,"844714182301945857",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",21489,FALSE,FALSE,NA,NA
"48","The FBI is investigating collusion between @realDonaldTrump's campaign &amp; Russia. When will the GOP end the charade &amp; put country first?",FALSE,24233,NA,2017-03-23 00:53:32,FALSE,NA,"844713690029084672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",7704,FALSE,FALSE,NA,NA
"49","Meanwhile, reports today say @realDonaldTrump's campaign manager was paid millions to help Putin influence US politics. Drip. Drip. Drip.",FALSE,20917,NA,2017-03-23 00:52:19,FALSE,NA,"844713385849753601",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",6548,FALSE,FALSE,NA,NA
"50","After slamming leaks as ""criminal,"" Devin Nunes is now privately briefing @realDonaldTrump - even leaking info to help him.",FALSE,24438,NA,2017-03-23 00:50:58,FALSE,NA,"844713044659916800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",11358,FALSE,FALSE,NA,NA
"51","Who does House Intelligence Committee Chairman Devin Nunes think he works for: the American people or @realDonaldTrump?",FALSE,20722,NA,2017-03-23 00:49:13,FALSE,NA,"844712604912234496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",6966,FALSE,FALSE,NA,NA
"52","The @SenateGOP would undo @FCC rules &amp; let internet service providers sell private info without telling customers.
https://t.co/v8y2RcIv6D",FALSE,1291,"SenWarren",2017-03-22 17:39:45,FALSE,"844603879182471168","844604526191689737","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",858,FALSE,FALSE,NA,NA
"53","Now the @SenateGOP is obsessed with using the Congressional Review Act to kill every consumer protection rule in sight, like the @FCC rules.",FALSE,1621,"SenWarren",2017-03-22 17:37:11,FALSE,"844603614689726464","844603879182471168","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",865,FALSE,FALSE,NA,NA
"54",".@SenMarkey is right: the @FCC protected consumers by adopting #BroadbandPrivacy rules – on how companies collect/use/share/sell our data.",FALSE,2201,NA,2017-03-22 17:36:08,FALSE,NA,"844603614689726464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",796,FALSE,FALSE,NA,NA
"55","Massachusetts Sec of State Galvin is right to be worried: @realDonaldTrump's bigotry &amp; hate could greatly influence… https://t.co/SeqFz5XbEc",FALSE,2805,NA,2017-03-22 16:59:01,TRUE,NA,"844594276227059712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",915,FALSE,FALSE,NA,NA
"56","Heading to the Senate floor now to talk about @realDonaldTrump’s efforts to cut OSHA safety for workers. Watch: https://t.co/Fz9XA4q2Sx",FALSE,5627,NA,2017-03-22 16:12:39,FALSE,NA,"844582605580390400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1498,FALSE,FALSE,NA,NA
"57","The FBI Director testified @realDonaldTrump's campaign is under investigation for collusion w/ Russia. Lifetime court appointments can wait.",FALSE,78341,NA,2017-03-21 21:34:58,FALSE,NA,"844301331259183104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",34197,FALSE,FALSE,NA,NA
"58","But is the Senate really going to pretend there's no cloud over @realDonaldTrump &amp; move on w/ the Gorsuch nomination like things are normal?",FALSE,22802,NA,2017-03-21 21:33:45,FALSE,NA,"844301026693955584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",8202,FALSE,FALSE,NA,NA
"59","I've strongly opposed the Gorsuch nomination. Giant companies don't need another Supreme Court justice to tilt the law in their favor.",FALSE,20283,NA,2017-03-21 21:32:43,FALSE,NA,"844300763774029829",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",5347,FALSE,FALSE,NA,NA
"60","Neil Gorsuch is up for a lifetime appointment to the Supreme Court from a President whose campaign is under FBI investigation.",FALSE,42344,NA,2017-03-21 21:31:34,FALSE,NA,"844300476694835200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",19638,FALSE,FALSE,NA,NA
"61","Instead of siding with the big banks, the @HouseGOP should join @HouseDemocrats in ensuring that the @CFPB remains a strong cop on the beat.",FALSE,3595,NA,2017-03-21 14:05:48,FALSE,NA,"844188293591982080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",919,FALSE,FALSE,NA,NA
"62","Today, the GOP @FinancialCmte has a hearing about “restructuring” the @CFPB – another way of saying they want to weaken it.",FALSE,1855,NA,2017-03-21 14:04:45,FALSE,NA,"844188029828907009",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",614,FALSE,FALSE,NA,NA
"63","The @CFPB is widely popular with the American people – and widely hated by the big Wall Street banks it regulates.",FALSE,3776,NA,2017-03-21 14:03:36,FALSE,NA,"844187740484919297",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",829,FALSE,FALSE,NA,NA
"64","The @CFPB is a tough watchdog for working families, forcing big banks to return more than $12B to people they cheated.",FALSE,3876,NA,2017-03-21 14:02:36,FALSE,NA,"844187488923062273",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1000,FALSE,FALSE,NA,NA
"65","Transparency, pressure &amp; activism work. But we’re going to need a whole lot more of it to make @usedgov work for students.",FALSE,3893,"SenWarren",2017-03-21 01:13:39,FALSE,"843993341670965248","843993979070959618","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",919,FALSE,FALSE,NA,NA
"66","The DeVos aide who resigned last week? His dad happened to run the student loan company that sued @usedgov about that pro-borrower policy.",FALSE,4177,"SenWarren",2017-03-21 01:11:07,FALSE,"843992939978211332","843993341670965248","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1765,FALSE,FALSE,NA,NA
"67","The damage has already been done. @usedgov announced it would let student loan companies charge some struggling students outrageous fees.",FALSE,1530,"SenWarren",2017-03-21 01:09:32,FALSE,"843992516542251008","843992939978211332","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1195,FALSE,FALSE,NA,NA
"68","The same day I wrote to DeVos about her aides’ obvious conflicts, one of them apparently resigned. https://t.co/KIw0enbJ8O",FALSE,1795,"SenWarren",2017-03-21 01:07:51,FALSE,"843992032150458369","843992516542251008","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",855,FALSE,FALSE,NA,NA
"69","I asked Betsy DeVos why 2 of her key aides are fmr for-profit college execs with massive conflicts of interest. https://t.co/NGc3oJGERM",FALSE,2096,"SenWarren",2017-03-21 01:05:55,FALSE,"843991712326467584","843992032150458369","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1074,FALSE,FALSE,NA,NA
"70","Education Secretary Betsy DeVos apparently thinks her job is to hand @usedgov over to people who want to bilk students.",FALSE,10091,NA,2017-03-21 01:04:39,FALSE,NA,"843991712326467584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",3618,FALSE,FALSE,NA,NA
"71","Read my @BostonGlobe op-ed about why I oppose Neil Gorsuch’s nomination for the Supreme Court. https://t.co/aHh5ioaBv6",FALSE,4131,"SenWarren",2017-03-20 21:52:14,FALSE,"843943038552592384","843943289527160832","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1670,FALSE,FALSE,NA,NA
"72","We don’t need another Supreme Court justice to help giant corporations. We need a justice who will uphold equal justice for all.",FALSE,19159,NA,2017-03-20 21:51:14,FALSE,NA,"843943038552592384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",5617,FALSE,FALSE,NA,NA
"73","Glad to answer as many questions as possible during our office hours at CityStage in Springfield this morning. https://t.co/yptehZldTH",FALSE,2930,NA,2017-03-20 19:43:12,FALSE,NA,"843910817888243712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",323,FALSE,FALSE,NA,NA
"74","We had terrific office hours in Worcester this afternoon. I’m very glad so many people joined us to ask questions &amp;… https://t.co/m0geFhUFyG",FALSE,7606,NA,2017-03-16 22:26:14,TRUE,NA,"842502292356128769",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1058,FALSE,FALSE,NA,NA
"75",".@realDonaldTrump, your Muslim ban is now 0 for 2 vs the Constitution. Stop fighting the rule of law and start fighting for all Americans.",FALSE,12332,"SenWarren",2017-03-16 00:29:50,FALSE,"842170731513450496","842171012879941633","970207298","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SenWarren",3404,FALSE,FALSE,NA,NA
"76",".@realDonaldTrump's illegal Muslim ban is still a recruiting tool for ISIS. Still a betrayal of our values. Still doesn't keep us safe.",FALSE,8894,"SenWarren",2017-03-16 00:28:43,FALSE,"842170477309263872","842170731513450496","970207298","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SenWarren",2054,FALSE,FALSE,NA,NA
"77","Turns out, an illegal Muslim ban by another name is still an illegal Muslim ban. So the courts just blocked @realDonaldTrump's second one.",FALSE,33668,NA,2017-03-16 00:27:43,FALSE,NA,"842170477309263872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SenWarren",8744,FALSE,FALSE,NA,NA
"78","Now is the time to speak out about the importance of the ACA &amp; Medicaid to your family &amp; stop this cruel #Trumpcare bill in its tracks.",FALSE,8523,NA,2017-03-15 23:15:40,FALSE,NA,"842152346117373952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",2315,FALSE,FALSE,NA,NA
"79","Today I told the Senate: If #Trumpcare passes, people will lose access to opioid recovery services. People will die. https://t.co/6x34DLVk61",FALSE,4012,NA,2017-03-15 23:14:35,FALSE,NA,"842152072174817280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1186,FALSE,FALSE,NA,NA
"80","Gutting the ACA with #Trumpcare is like shoving a stick of dynamite in this country’s opioid treatment gap &amp; lighting the fuse.",FALSE,5245,NA,2017-03-15 23:13:33,FALSE,NA,"842151812358627330",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1324,FALSE,FALSE,NA,NA
"81","Consider what #Trumpcare will do to families &amp; communities struggling with the opioid crisis. We already have an opioid treatment gap.",FALSE,3505,NA,2017-03-15 23:12:26,FALSE,NA,"842151531097006080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",812,FALSE,FALSE,NA,NA
"82","There's no other way to say it: #Trumpcare is just part of a GOP plan to help the rich get richer &amp; kick dirt in everyone else's face.",FALSE,16744,NA,2017-03-15 23:11:19,FALSE,NA,"842151253048217601",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",5364,FALSE,FALSE,NA,NA
"83","Who thinks the central problem in America is that middle class families have too much health care &amp; rich people need more gov handouts?",FALSE,17840,NA,2017-03-15 23:10:00,FALSE,NA,"842150918510530561",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",6163,FALSE,FALSE,NA,NA
"84","What kind of health care bill has as its central feature ripping insurance away from tens of millions of American citizens?",FALSE,9844,NA,2017-03-15 23:08:59,FALSE,NA,"842150663379423232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",2724,FALSE,FALSE,NA,NA
"85","About to speak about the devastating impact that #Trumpcare will have on fighting the opioid crisis in MA. Watch: https://t.co/sHhsGuB8B5",FALSE,4234,NA,2017-03-15 20:38:05,FALSE,NA,"842112688713015296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1036,FALSE,FALSE,NA,NA
