"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"22","@37NOUIS Of course! @BECCA_COSMETICS let's make it happen <U+2600><U+FE0F><U+2600><U+FE0F><U+2600><U+FE0F>",FALSE,102,"37NOUIS",2017-04-18 03:52:41,FALSE,"854180329124442112","854180860563603458","1239981984","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",11,FALSE,FALSE,NA,NA
"23","Whoa new fav gif https://t.co/lySSO46GJD",FALSE,9590,NA,2017-04-18 03:48:04,FALSE,NA,"854179696900055040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",1195,FALSE,FALSE,NA,NA
"24","@Swopes My dumbass did it so I had to pass it on lol",FALSE,751,"Swopes",2017-04-18 00:45:26,FALSE,"854133600316522496","854133735582687232","201448511","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",9,FALSE,FALSE,NA,NA
"25","More people need to hear this. Comical if it weren't so heartbreaking. https://t.co/6DTrNI7QCK",FALSE,7394,NA,2017-04-18 00:44:07,FALSE,NA,"854133404035461120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",1830,FALSE,FALSE,NA,NA
"26","@samimain @darth Agree",FALSE,35,"samimain",2017-04-17 21:42:55,FALSE,"854085951525707776","854087803403091968","227919023","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",2,FALSE,FALSE,NA,NA
"27","@kaylaanncan @imtheblondeonee <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2764><U+FE0F>",FALSE,19,"kaylaanncan",2017-04-17 21:39:15,FALSE,"854086301632671745","854086881826426881","1199191220","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",2,FALSE,FALSE,NA,NA
"28","@DiGiornoPizza I like ur pizza",FALSE,257,"DiGiornoPizza",2017-04-17 19:35:50,FALSE,NA,"854055824800362496","22151553","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",40,FALSE,FALSE,NA,NA
"29","@BJenter10ment @realDonaldTrump You mean a citizen of the US is of no relevance to the president of the US? Not sur… https://t.co/7nOyhddSpx",FALSE,395,"BJenter10ment",2017-04-17 14:30:48,TRUE,"853967895835103235","853979058488487936","267031989","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",56,FALSE,FALSE,NA,NA
"30","Happy Easter, everyone! Really. Except @realDonaldTrump",FALSE,174821,NA,2017-04-16 16:09:03,FALSE,NA,"853641395743055872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",62062,FALSE,FALSE,NA,NA
"31","@glossanddirt @Neely711 I feel you. Some silvery highlighters can bring out even the tiniest bumps but it's more of… https://t.co/TfuIHTlBy7",FALSE,49,"glossanddirt",2017-04-16 16:07:20,TRUE,"853637413834375168","853640965654839296","44959787","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",1,FALSE,FALSE,NA,NA
