"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2580","RT @Chopdasaab: What kind of Journalists can afford Taj Udaipur at bare minimum of INR 32,365 + Taxes per night. https://t.co/0gJmaccmJH",FALSE,0,NA,2017-04-18 19:18:48,FALSE,NA,"854413923985969152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MajorIndianPain",201,TRUE,FALSE,NA,NA
"2581","RT @SenKamalaHarris: On #TaxDay, a reminder that undocumented immigrants pay taxes. https://t.co/peJSzigfHk",FALSE,0,NA,2017-04-18 19:18:48,FALSE,NA,"854413922719477760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TZZToday",177,TRUE,FALSE,NA,NA
"2582","RT @HalfOnionInABag: Totally understand. Unlike @realDonaldTrump, some people actually work weekends. Good news is you can demand to see hi…",FALSE,0,NA,2017-04-18 19:18:47,FALSE,NA,"854413921318580224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","myvasandi",84,TRUE,FALSE,NA,NA
"2583","RT @mcuban: .@realDonaldTrump has to file taxes by tomorrow like all of us. No way he is under audit for this year. Where are his new tax r…",FALSE,0,NA,2017-04-18 19:18:47,FALSE,NA,"854413920265584641",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StalkingJ",7623,TRUE,FALSE,NA,NA
"2584","@Sceptic_1984 @RealDrGina @tamaraleighllc @DebFreedomVoice @realDonaldTrump @voofie4711 @BobGrayGA @TeamTrump… https://t.co/ILyo8I6TmB",FALSE,0,"Sceptic_1984",2017-04-18 19:18:47,TRUE,"853926975500668928","854413920022532097","4923261100","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jose_sarraff",0,FALSE,FALSE,NA,NA
"2585","@johnstoneciphe1 NOPE.Not a single care.Ur too damn stupid to realize a person running 4Pres is vetted via DOD thro… https://t.co/F8pU9ZqHmg",FALSE,0,"johnstoneciphe1",2017-04-18 19:18:47,TRUE,"854391077452865536","854413919456251904","2189224834","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BigglesYO",0,FALSE,FALSE,NA,NA
"2586","RT @MaxineWaters: Trump will not release his taxes b/c he has something to hide.  He's only out to enrich himself, his wealthy cabinet, &amp; W…",FALSE,0,NA,2017-04-18 19:18:45,FALSE,NA,"854413913563303939",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnnH1958",5754,TRUE,FALSE,NA,NA
"2587","RT @photodave2014: @realDonaldTrump GO DEMOCRATES!!! YOUR WORRIED ABOUT SOMEBODY RAISING TAXES LMAO YOUR A JOKE",FALSE,0,NA,2017-04-18 19:18:45,FALSE,NA,"854413911898062848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","photodave2014",1,TRUE,FALSE,NA,NA
"2588","@hrkbenowen @American4ever1 @realDonaldTrump he should not, but if he does the liberals will rage because he pays taxes",FALSE,0,"hrkbenowen",2017-04-18 19:18:45,FALSE,"854065504725741568","854413911835234305","542962969","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LibertyPrimeUS",0,FALSE,FALSE,NA,NA
"2589","RT @kaeli: I'M NOT PAYING MY TAXES UNTIL TRUMP SHOWS US HIS!

aka I filed an extension",FALSE,0,NA,2017-04-18 19:18:45,FALSE,NA,"854413910044278784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KaylinWinters2",42,TRUE,FALSE,NA,NA
"2590","Cut Taxes, Improve Transportation And Invest In STEM Education To Improve N.J. Economy: Congressman https://t.co/ccoPCi2hS5",FALSE,0,NA,2017-04-18 19:18:44,FALSE,NA,"854413909423398912",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","RamseyNJPatch",0,FALSE,FALSE,NA,NA
"2591","RT @CloydRivers: Happy Tax Day. Remember to pay your taxes this year so the Government can give it to people that don't work as hard as you…",FALSE,0,NA,2017-04-18 19:18:44,FALSE,NA,"854413909226385409",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MoyerDrew",930,TRUE,FALSE,NA,NA
"2592","Alas, after attempting to file my taxes on time, this will be the 14th year in a row I have filed for an extension. #taxday2017 #shame",FALSE,0,NA,2017-04-18 19:18:44,FALSE,NA,"854413908617994240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jullylee",0,FALSE,FALSE,NA,NA
"2593","@deepriversnacks I'd rather eat @deepriversnacks than almost anything. and, I'd rather do almost anything than be doing my taxes! #TaxDay",FALSE,0,"deepriversnacks",2017-04-18 19:18:44,FALSE,"854363944424701953","854413908089516032","55621794","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lexiquin",0,FALSE,FALSE,NA,NA
"2594","RT @dailykos: On Tax Day, a reminder that undocumented immigrants pay billions in taxes annually https://t.co/SVTpPsQfdO",FALSE,0,NA,2017-04-18 19:18:44,FALSE,NA,"854413906659475456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rojawi",80,TRUE,FALSE,NA,NA
"2595","@LoudIsLadylike1 @corder_sherrie @VP @realDonaldTrump hey loud ! We don't give a rat's ass about his taxes,he is awesome !: Shut up u !!",FALSE,1,"LoudIsLadylike1",2017-04-18 19:18:43,FALSE,"854140784366338048","854413904759275521","738403467769745410","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chickenrump55",0,FALSE,FALSE,NA,NA
"2596","RT @SethAbramson: A simple fact: Trump's lie about releasing his taxes is WORSE BY FAR than Bill Clinton lying about Monica Lewinsky. Retwe…",FALSE,0,NA,2017-04-18 19:18:43,FALSE,NA,"854413904495161344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NancyMcquaide",7360,TRUE,FALSE,NA,NA
"2597","@studentactivism I did my taxes last night and am now sitting on them because I have no money to pay them. :|",FALSE,1,"studentactivism",2017-04-18 19:18:42,FALSE,"854413063776329730","854413899814232064","20919626","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","diannaeanderson",0,FALSE,FALSE,NA,NA
"2598","RT @HalfOnionInABag: Totally understand. Unlike @realDonaldTrump, some people actually work weekends. Good news is you can demand to see hi…",FALSE,0,NA,2017-04-18 19:18:42,FALSE,NA,"854413899310874625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrianWithCheese",84,TRUE,FALSE,NA,NA
"2599","RT @Alifaith55: Please RETWEET if...

You're one of 74% of Americans who want to see Trump's taxes &amp; were not paid to hold that opinion

#T…",FALSE,0,NA,2017-04-18 19:18:41,FALSE,NA,"854413896358211585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","agardenmother",920,TRUE,FALSE,NA,NA
"2600","@th3j35t3r @Okoomi Donald Trump WILL raise your taxes after actually cutting the rate. all he will do is reduce deductions and exemptions.",FALSE,0,"th3j35t3r",2017-04-18 19:18:41,FALSE,"854361879770275840","854413895909474304","97994396","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BillyDidit",0,FALSE,FALSE,NA,NA
"2601","RT @peddoc63: If you paid income taxes, then get back the money you paid plus more, you're not really paying income taxes. I hope you reali…",FALSE,0,NA,2017-04-18 19:18:41,FALSE,NA,"854413895259353088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MimiLisaVito",11,TRUE,FALSE,NA,NA
"2602","RT @TrumpUSA__: Happy Tax Day. Remember to pay your taxes this year so the Government can give it to people that don't work as hard as you.",FALSE,0,NA,2017-04-18 19:18:41,FALSE,NA,"854413894957322241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GlennManeval",14,TRUE,FALSE,NA,NA
"2603","RT @MoveOn: If you pay taxes then you pay for war. Get your full tax receipt here: https://t.co/yrEzhKTVBu #TaxDay @natpriorities https://t…",FALSE,0,NA,2017-04-18 19:18:41,FALSE,NA,"854413894756048897",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SuelouiseS",31,TRUE,FALSE,NA,NA
"2604","RT @People4Bernie: Undocumented immigrants pay their taxes

Global corporations and Trump avoids them

Any questions? #TaxDay https://t.co/…",FALSE,0,NA,2017-04-18 19:18:41,FALSE,NA,"854413893963309057",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","frankbjones",26,TRUE,FALSE,NA,NA
"2605","RT @ThomasJ17762016: #TaxMarch YES WE DO WANT TO SEE YOUR TAXES @realDonaldTrump.  What are you hiding?#Trumprussia #Russiagate #TaxMarch #…",FALSE,0,NA,2017-04-18 19:18:41,FALSE,NA,"854413893309018113",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Kaygirl8Lawana",12,TRUE,FALSE,NA,NA
"2606","RT @BryanJDilley: @arappeport Trump on Taxes:
2011 if obama releases BC
2012 if Romney does
2014 if runs for office 
2015 if Hillary releas…",FALSE,0,NA,2017-04-18 19:18:40,FALSE,NA,"854413892566568961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marleyfan429",2,TRUE,FALSE,NA,NA
"2607","RT @RealArnabG: For a third term in Delhi, @BJP4India promises cheap food, gau care, no new taxes ahead of #MCDPolls https://t.co/h6q2afawbr",FALSE,0,NA,2017-04-18 19:18:40,FALSE,NA,"854413890360401922",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SPJeditor",12,TRUE,FALSE,NA,NA
"2608","The patriotic citizens of Georgia have the chance to tell #45 who is BOSS! Vote #Ossoff! GOP wants to take your healthcare &amp; raise taxes!",FALSE,1,NA,2017-04-18 19:18:40,FALSE,NA,"854413889248739329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LAUrbanBohemian",1,FALSE,FALSE,NA,NA
"2609","RT @Alifaith55: Please RETWEET if...

You're one of 74% of Americans who want to see Trump's taxes &amp; were not paid to hold that opinion

#T…",FALSE,0,NA,2017-04-18 19:18:40,FALSE,NA,"854413888963702789",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","utzczr",920,TRUE,FALSE,NA,NA
"2610","RT @kylegriffin1: Elizabeth Warren rips Trump on his taxes to @NBCNews: ""The issue is not over. He promised during the campaign he would re…",FALSE,0,NA,2017-04-18 19:18:39,FALSE,NA,"854413888158302215",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KaylinWinters2",745,TRUE,FALSE,NA,NA
"2611","Hear why 1 local person waited until the the tax deadline to mail his taxes tonight on @wvua23 https://t.co/oXmGY28ewp",FALSE,0,NA,2017-04-18 19:18:39,FALSE,NA,"854413887428591616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BKeithDobbins",0,FALSE,FALSE,NA,NA
"2612","@melsil That check hurt to mail. Hurts more knowing he thinks only idiots pay taxes.",FALSE,0,"melsil",2017-04-18 19:18:39,FALSE,"854410986715058176","854413886392553472","15588104","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","youbexbelieve",0,FALSE,FALSE,NA,NA
"2613","RT @TheRickyDavila: Remember when washed up, no principles Ted Cruz spoke about trump's refusal to release his taxes? I do. #TaxDay
https:/…",FALSE,0,NA,2017-04-18 19:18:39,FALSE,NA,"854413885453082625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BHolmes1333",343,TRUE,FALSE,NA,NA
"2614","RT @liberatethis: This #taxday, we must remember what our taxes are funding. https://t.co/sz5vR4KdSi",FALSE,0,NA,2017-04-18 19:18:39,FALSE,NA,"854413885360803840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Damian0706",2,TRUE,FALSE,NA,NA
"2615","RT @realDonaldTrump: Democrat Jon Ossoff would be a disaster in Congress. VERY weak on crime and illegal immigration, bad for jobs and want…",FALSE,0,NA,2017-04-18 19:18:38,FALSE,NA,"854413881837408256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jd_ozzimo",10825,TRUE,FALSE,NA,NA
"2616","@charliekirk11 If Congress lowers our taxes, how will Trump pay for his weekly trips to his private golfing resort?",FALSE,0,"charliekirk11",2017-04-18 19:18:38,FALSE,"854309663785058310","854413881652989953","292929271","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kmmontandon",0,FALSE,FALSE,NA,NA
"2617","RT @afed3352: YO, PATRIOTS: Would YOU Rather See Hillary's DELETED Emails Or Trump's Taxes? https://t.co/9RYrXh6EMj via @Doug_Giles",FALSE,0,NA,2017-04-18 19:18:37,FALSE,NA,"854413877626515456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MoberlyG",1,TRUE,FALSE,NA,NA
