"","weight","height","male","educ","physical","stamps","white","black"
"168",135,66,0,4,3,1,0,1
"169",151,63,0,9,3,0,0,1
"170",170,67,1,13,2,0,1,0
"171",140,55,0,17,4,0,0,1
"172",160,66,1,10,5,0,0,1
"173",205,72,1,14,5,0,1,0
"174",150,66,0,10,2,0,0,1
"175",152,65,0,8,1,1,0,1
"176",200,64,0,12,3,0,0,1
"177",230,76,1,14,3,0,0,1
"178",133,66,0,7,1,0,0,1
"179",159,60,0,8,1,0,0,1
"180",200,63,0,9,3,0,0,1
"181",170,69,0,10,1,0,0,1
"182",130,69,1,12,1,0,0,1
"183",124,63,0,13,4,0,1,0
"184",147,57,0,8,4,0,1,0
"185",165,65,0,12,3,0,1,0
"186",186,68,1,8,1,0,1,0
"187",161,59,0,11,1,1,0,1
"188",122,67,0,15,5,0,1,0
"189",115,62,0,8,1,0,1,0
"190",151,69,0,3,3,0,0,1
"191",145,65,0,12,1,0,1,0
"192",160,65,0,16,1,0,1,0
"193",150,62,0,12,3,0,1,0
"194",145,66,1,16,3,0,1,0
"195",175,65,1,8,3,0,1,0
"196",150,61,0,8,1,0,1,0
"197",215,72,1,5,3,0,1,0
"198",195,71,1,11,4,0,0,1
"199",153,67,1,9,4,0,1,0
"200",155,65,1,14,3,0,1,0
"201",155,73,1,10,1,0,0,1
"202",135,69,1,10,1,0,0,1
"203",110,63,0,9,1,0,1,0
"204",180,66,1,12,3,0,1,0
"205",160,70,0,15,2,0,1,0
"206",180,71,1,14,5,0,1,0
"207",160,65,1,8,4,0,1,0
"208",170,69,1,10,1,0,1,0
"209",190,69,1,7,3,0,1,0
"210",155,74,1,12,3,0,1,0
"211",182,73,1,13,1,0,1,0
"212",180,64,0,12,5,0,1,0
"213",253,64,0,5,2,1,0,1
"214",128,69,1,10,1,0,1,0
"215",215,66,1,12,5,0,1,0
"216",128,61,0,10,5,0,0,1
"217",170,71,1,8,5,0,1,0
"218",200,74,1,13,5,0,1,0
"219",200,69,1,8,1,0,1,0
"220",190,78,1,2,1,0,0,1
"221",172,70,1,12,3,0,0,1
"222",140,71,1,10,3,0,1,0
"223",97,59,0,17,1,0,0,0
"224",140,67,0,14,5,0,1,0
"225",192,72,1,16,5,0,1,0
"226",172,68,1,6,5,0,1,0
"227",150,61,0,10,5,0,1,0
"228",155,70,1,16,3,0,1,0
"229",215,72,1,12,1,0,1,0
"230",175,74,1,12,3,0,1,0
"231",135,64,1,8,5,0,1,0
"232",175,64,0,11,1,0,1,0
"233",185,67,0,10,5,1,0,1
"234",NA,60,0,8,3,0,1,0
"235",128,62,0,15,5,0,1,0
"236",240,63,0,8,1,0,1,0
"237",170,63,0,6,1,0,1,0
"238",152,64,0,16,3,0,0,1
"239",213,73,1,17,1,0,0,1
"240",150,62,0,8,5,0,1,0
"241",135,62,0,12,5,0,1,0
"242",167,63,0,12,5,0,1,0
"243",98,63,0,12,1,0,1,0
"244",146,62,0,13,2,0,1,0
"245",146,63,0,12,4,0,1,0
"246",140,64,0,17,4,0,1,0
"247",115,66,0,16,3,0,1,0
"248",155,69,1,11,4,0,1,0
"249",150,64,0,7,1,0,1,0
"250",120,62,0,12,4,0,1,0
"251",132,66,0,12,1,0,1,0
"252",112,61,0,12,1,0,0,1
"253",135,64,0,12,3,0,1,0
"254",160,63,0,8,1,0,1,0
"255",160,71,1,17,1,0,1,0
"256",240,69,1,12,2,0,0,1
"257",142,65,1,10,5,0,0,1
