"","lon","lat"
"177",-88.6325641,39.71559
"178",-89.3648183,40.1483768
"179",-89.6542579,39.1753256
"180",-88.057837,41.5894752
"181",-89.0581621,42.3200189
"182",-90.6717971,40.4592076
"183",-90.1656764,40.798927
"184",-88.957026,40.0364257
"185",-88.4195101,41.2414216
"186",-87.9889556,41.931696
"187",-90.1570536,38.6825502
"188",-88.6084269,42.2486332
"189",-87.6947699,41.5936453
"190",-89.2500869,41.2644805
"191",-88.7081293,41.3308666
"192",-87.6936384,39.3914252
"193",-87.8819761,39.3355924
"194",-89.793154,38.490327
"195",-89.6981639,40.2022663
"196",-87.7131018,41.5039235
"197",-88.3728255,39.4830897
"198",-88.5356076,38.0933811
"199",-91.2837565,40.0883795
"200",-89.1175851,41.5472547
"201",-88.7319979,37.1511655
"202",-89.0345224,40.9044778
"203",-88.2617305,41.4553084
"204",-90.5151342,41.5067003
"205",-87.662815,41.1667001
"206",-90.6473576,40.9114271
"207",-88.5733979,40.0278116
"208",-88.4211785,41.357254
"209",-89.9651186,41.809751
"210",-90.0320607,40.6258717
"211",-89.1625731,37.0853291
"212",-87.7614174,38.4108801
"213",-89.9781797,42.0950233
"214",-89.7273148,39.072269
"215",-89.282314,40.0108767
"216",-90.763463,39.9872707
"217",-88.9031201,38.3172714
"218",-89.3350888,37.7644952
"219",-89.3806398,38.3436612
"220",-89.4634279,39.8528262
"221",-89.6017722,41.7964208
"222",-91.2423656,39.8169907
"223",-88.4528261,39.3194817
"224",-90.9968113,41.1703108
"225",-87.9858677,39.7986455
"226",-88.1625389,38.9908766
"227",-89.285085,39.3011566
"228",-87.8411818,42.325578
"229",-87.8956185,41.9172526
"230",-89.910991,38.592323
"231",-87.6744891,41.4914236
"232",-87.9645077,41.8500302
"233",-88.0261471,39.6539235
"234",-89.0595266,41.2953126
"235",-88.0853154,38.7308811
"236",-89.3323279,42.0147513
"237",-88.9775715,37.9183832
"238",-90.3815165,41.3547575
"239",-88.8425769,41.3455892
"240",-87.8169984,41.6966992
"241",-90.353727,39.190047
"242",-89.5242528,39.0294908
"243",-88.5370197,41.6628076
"244",-87.6961374,39.611146
"245",-87.8842397,42.3483554
"246",-89.8259532,42.2652969
"247",-89.640658,40.5675388
"248",-89.5889864,40.6936488
"249",-90.658333,39.4224559
"250",-89.6187089,38.0164398
"251",-89.1289728,41.3275349
"252",-89.8481652,40.0117151
"253",-89.3820321,38.0803286
"254",-90.8051289,39.6078254
"255",-88.1580999,40.0069761
"256",-89.5792782,41.986141
"257",-88.6297839,40.8808666
"258",-89.4648145,41.3680919
"259",-89.9362249,41.6714198
"260",-87.9375694,42.0953049
"261",-91.4098726,39.9356016
"262",-89.9942741,38.2117172
"263",-87.7391935,39.0053201
"264",-89.0687073,41.9239178
"265",-88.0797933,41.9847504
"266",-89.6889967,41.7797533
"267",-90.5787476,41.5094771
"268",-89.0939952,42.2711311
"269",-90.3715105,39.4839361
"270",-88.3461483,37.4236626
"271",-90.5631829,40.1211577
"272",-88.3086867,41.9141945
"273",-87.646692,38.5911584
"274",-88.9456158,38.6269929
"275",-88.6217432,41.6458634
"276",-90.1567944,42.0944671
"277",-89.0503512,38.0917168
"278",-88.1867027,37.713102
"279",-88.7900689,39.4064284
"280",-90.4151301,41.5122561
"281",-89.0367763,42.4930708
"282",-89.7017658,38.1231053
"283",-89.1998076,41.3275352
"284",-89.6501481,39.7817213
"285",-89.7912063,39.0122684
"286",-89.6962194,41.788642
"287",-88.835352,41.1208668
"288",-88.6078392,39.599479
"289",-88.6867538,41.9889173
"290",-89.294533,39.548935
"291",-89.133416,41.0022556
"292",-89.0667488,41.2158684
"293",-89.8648283,41.0936481
"294",-88.9645382,41.9308618
"295",-89.6820368,38.605604
