Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Catlin,1,5,190753.46,175090.76,15662.7,55133,39470.28,15662.72,4698.92,3915.77,783.15
Cedar Point,2,8,214045.89,191631.68,22414.21,72852,50437.99,22414.01,6724.28,5603.57,1120.71
Central City,4,20,1329032.4,1235120.7,93911.7,360929,267016.96,93912.04,28173.72,23478.1,4695.62
Centralia,20,97,5629365.48,5244711.54,384653.94,1516745,1132091.47,384653.53,115396.93,96164.13,19232.8
Centreville,2,8,821313.94,754870.04,66443.9,267978,201548.18,66429.82,19929.06,16607.55,3321.51
Cerro Gordo,1,4,121704.54,115439.87,6264.67,43731,37466.05,6264.95,1879.53,1566.27,313.26
Champaign,52,242,18327405.2,16897135.39,1430269.81,6159774,4729556.06,1430217.94,429067.87,357556.65,71511.22
Chandlerville,1,4,140334.65,131073.32,9261.33,52948,43686.67,9261.33,2778.4,2315.34,463.06
Channahon,8,32,1295809.01,1184803.22,111005.79,406637,295609.48,111027.52,33308.32,27756.94,5551.38
Charleston,17,71,2869460.46,2646601.12,222859.34,842136,619275.78,222860.22,66858.63,55715.56,11143.07
Chatham,8,35,2484937.16,2330502.98,154434.18,734797,580362.73,154434.27,46330.72,38608.96,7721.76
Chatsworth,1,4,151938.11,139049.55,12888.56,41322,28433.39,12888.61,3866.59,3222.16,644.43
Chebanse,4,14,188874.83,166748.71,22126.12,66068,43941.83,22126.17,6637.95,5531.63,1106.32
Chenoa,5,25,1129101.86,1042401.98,86699.88,332151,245451.1,86699.9,26010.3,21675.27,4335.03
Cherry Valley,8,37,2087734.29,1928144.27,159590.02,613318,453727.88,159590.12,47877.39,39897.84,7979.55
Chester,10,45,2002760.85,1839119.21,163641.64,596237,432593.1,163643.9,49093.42,40911.19,8182.23
Chesterfield,1,3,65466.87,59428.57,6038.3,15107,9068.7,6038.3,1811.49,1509.57,301.92
Chicago Heights,15,69,5262957.34,4826401.49,436555.85,1734545,1298014.47,436530.53,130959.89,109133.25,21826.64
Chicago Ridge,20,95,5662336.97,5215210.36,447126.61,1760464,1313337.26,447126.74,134138.93,111782.45,22356.48
Chillicothe,12,57,2659604.93,2456862.74,202742.19,814373,611630.91,202742.09,60823.31,50686.11,10137.2
Chrisman,1,5,212025.23,191904.29,20120.94,80310,60191.02,20118.98,6035.74,5029.79,1005.95
Christopher,6,25,1310348.15,1209786.25,100561.9,362567,262208.02,100358.98,30107.99,25089.99,5018
Cicero,30,131,12803406.46,11744894.07,1058512.39,4282916,3224405.74,1058510.26,317554.47,264628.78,52925.69
Cissna Park,1,4,50112.96,46892,3220.96,17572,14350.92,3221.08,966.31,805.26,161.05
Clay City,1,5,208337,188153.16,20183.84,68360,48176,20184,6055.23,5046.03,1009.2
Clayton,1,3,41936.74,37723.62,4213.12,12685,8471.99,4213.01,1124.92,937.43,187.49
Clifton,4,18,440977.5,400719.73,40257.77,147898,107640.15,40257.85,12077.55,10064.63,2012.92
Clinton,9,43,2345633.31,2161250.08,184383.23,763637,579270.91,184366.09,55310.15,46091.79,9218.36
Coal City,6,23,1258765.18,1156926.72,101838.46,367210,265371.62,101838.38,30551.7,25459.76,5091.94
Coal Valley,3,11,270064.35,239459.09,30605.26,81697,51091.55,30605.45,9181.72,7651.44,1530.28
Coalton,1,4,162246.53,151041.47,11205.06,52154,40948.94,11205.06,3361.55,2801.29,560.26
Cobden,1,3,146037.57,135086.05,10951.52,35036,24084.48,10951.52,3285.42,2737.85,547.57
Colfax,1,3,91623.05,83269.55,8353.5,24943,16589.5,8353.5,2506.1,2088.42,417.68
Collinsville,18,77,3871948.55,3572102.03,299846.52,1145401,845554.68,299846.32,89954.45,74962.08,14992.37
Colona,3,12,630410.17,572228.07,58182.1,177601,119418.95,58182.05,17454.62,14545.52,2909.1
Columbia,6,21,1134986.63,1047217.56,87769.07,323361,235592.01,87768.99,26330.88,21942.4,4388.48
Compton,1,3,84106.41,77005.54,7100.87,25844,18743.13,7100.87,2130.27,1775.23,355.04
Cooksville,1,5,182132.37,169025.29,13107.08,58301,45193.92,13107.08,3932.2,3276.83,655.37
Cordova,2,8,218997.08,201880.21,17116.87,66944,49827.13,17116.87,5135.13,4279.27,855.86
Cornell,1,3,49798.99,45006.73,4792.26,16177,11384.74,4792.26,1437.66,1198.06,239.6
Coulterville,5,25,1203941.24,1113005.69,90935.55,404356,313420.11,90935.89,27281.05,22734.21,4546.84
Country Club Hills,5,22,690740.59,624707.14,66033.45,230144,164110.36,66033.64,19810.37,16508.66,3301.71
Countryside,19,83,6855516.82,6330713.49,524803.33,1965512,1440681.03,524830.97,157449.98,131208.34,26241.64
Creal Springs,1,3,95749.33,85924.13,9825.2,26464,16638.9,9825.1,2947.56,2456.3,491.26
Crescent City,2,8,136456.4,125501.6,10954.8,44577,33622.2,10954.8,3286.58,2738.82,547.76
Crest Hill,13,58,3259021.8,2991364.93,267656.87,1018347,750689.31,267657.69,80297.82,66914.87,13382.95
Creston,1,3,81261.79,74159.04,7102.75,34506,27403.25,7102.75,2130.89,1775.75,355.14
Crestwood,26,126,8978419.51,8278362.29,700057.22,2918227,2218194.87,700032.13,210010.59,175008.86,35001.73
Crete,8,35,2070008.45,1901236.38,168772.07,655678,486904.24,168773.76,50632.56,42193.8,8438.76
Creve Coeur,9,39,2226166.92,2060272.98,165893.94,670695,504781.04,165913.96,49774.6,41478.84,8295.76
Crystal Lake,12,36,1754510.99,1596737.28,157773.71,620598,462824.33,157773.67,47332.43,39443.72,7888.71
Cuba,2,9,325034.46,298831.75,26202.71,103018,76815.03,26202.97,7860.95,6550.79,1310.16
Cullom,1,5,164885.76,159381.26,5504.5,59437,53931.69,5505.31,1651.64,1376.37,275.27
Curran,1,5,173370.18,165994.32,7375.86,46833,39456.59,7376.41,2212.97,1844.14,368.83
Cypress,1,4,116982.86,107708.85,9274.01,28227,18952.99,9274.01,2782.3,2318.59,463.71
Dallas City,2,7,262335.1,248117.63,14217.47,67101,52884.25,14216.75,4265.15,3554.3,710.85
Dalton City,2,8,292803.59,269933.54,22870.05,98032,75161.99,22870.01,6861.11,5717.59,1143.52
Dalzell,1,4,198150.03,180937.28,17212.75,51760,34566.25,17193.75,5158.27,4298.56,859.71
Damiansville,1,4,103310.1,97619.11,5690.99,31655,25964.2,5690.8,1707.25,1422.71,284.54
Danvers,1,3,74448.47,69666.64,4781.83,23373,18591.02,4781.98,1434.68,1195.57,239.11
Danville,28,123,6892450.87,6311365.37,581085.5,2170153,1589540.08,580612.92,174185.32,145154.49,29030.83
Darien,8,38,3402150.95,3136367.87,265783.08,984788,719005.72,265782.28,79735.1,66445.93,13289.17
Davis,1,5,257924.67,243598.15,14326.52,84780,70453.48,14326.52,4298,3581.67,716.33
Davis Junction,3,15,735406,676651.38,58754.62,245203,186448.2,58754.8,17626.65,14688.89,2937.76
Dawson,2,7,241766.54,227098.76,14667.78,75248,60580.22,14667.78,4400.34,3666.96,733.38
De Witt,2,9,430680.74,407127.96,23552.78,123162,99609.07,23552.93,7065.93,5888.28,1177.65
Decatur,80,380,31560483.41,29024697.87,2535785.54,10397027,7861247.66,2535779.34,760737.95,633948.45,126789.5
Deer Creek,1,3,146061.95,136217.75,9844.2,34173,24328.77,9844.23,2953.3,2461.08,492.22
Deer Grove,1,2,16058.98,15139.05,919.93,5992,5072.07,919.93,275.97,229.97,46
DeKalb,20,85,4779580.11,4394598.17,384981.94,1426225,1041243.23,384981.77,115495.32,96246.13,19249.19
Delavan,2,9,245680.85,228400.91,17279.94,79887,62607.11,17279.89,5184.09,4320.08,864.01
Depue,2,10,353234.19,317344.84,35889.35,120318,84428.45,35889.55,10767.05,8972.54,1794.51
Diamond,3,14,996768.01,926530.64,70237.37,278298,208134.3,70163.7,21049.14,17540.96,3508.18
Dieterich,2,7,170860.54,160070.23,10790.31,55131,44340.66,10790.34,3237.13,2697.6,539.53
Divernon,3,15,1209758.72,1107947.31,101811.41,325666,223817.75,101848.25,30554.62,25462.2,5092.42
Dixmoor,2,9,612063.9,563447.96,48615.94,190256,141640.06,48615.94,14584.83,12154.03,2430.8
Dixon,26,117,6567072.12,6025392.8,541679.32,2026898,1485227.99,541670.01,162501.87,135418.25,27083.62
Dolton,12,54,3284974.36,3007154.61,277819.75,1112418,834594.96,277823.04,83347.46,69456.23,13891.23
Dongola,1,4,221620.22,202119.51,19500.71,57728,38227.29,19500.71,5850.21,4875.18,975.03
Donnellson,1,4,178687.72,167584.6,11103.12,54074,42970.88,11103.12,3330.93,2775.78,555.15
Dowell,1,5,318270.68,295008.01,23262.67,98349,75087.23,23261.77,6978.59,5815.49,1163.1
Downs,2,8,433063.03,400453.78,32609.25,114839,82229.95,32609.05,9782.82,8152.35,1630.47
Du Bois,1,5,201423.85,190733.77,10690.08,59119,48428.92,10690.08,3207.03,2672.52,534.51
Du Quoin,12,58,2494478.17,2287607.49,206870.68,747723,540852.28,206870.72,62061.82,51718.23,10343.59
Dunlap,2,9,337876.74,309904.63,27972.11,117448,89475.78,27972.22,8391.75,6993.12,1398.63
Dupo,5,21,833844.04,778111.61,55732.43,237358,181625.64,55732.36,16719.92,13933.27,2786.65
Durand,3,14,518304.4,481496.11,36808.29,185929,149120.71,36808.29,11042.67,9202.25,1840.42
Dwight,11,50,2286002.71,2120298.18,165704.53,700188,534483.52,165704.48,49711.81,41426.5,8285.31
Earlville,2,6,83393.09,79220.48,4172.61,28326,24153.39,4172.61,1251.78,1043.15,208.63
East Alton,11,49,2261181.01,2074068.82,187112.19,637149,450035.7,187113.3,56134.47,46778.74,9355.73
East Brooklyn,1,5,105828.05,94440.86,11387.19,36880,25492.81,11387.19,3416.27,2846.9,569.37
East Cape Girardeau,2,10,490471.53,454769.51,35702.02,132101,96386.87,35714.13,10714.42,8928.69,1785.73
East Dubuque,11,47,2596744.86,2380689,216055.86,716500,500443.65,216056.35,64817.45,54014.57,10802.88
East Dundee,12,55,3334050.2,3034375.34,299674.86,1017673,717998.08,299674.92,89903.07,74919.25,14983.82
East Galesburg,2,7,305224.79,289365.35,15859.44,80665,64805.66,15859.34,4757.81,3964.83,792.98
East Gillespie,2,10,480473.06,444874.47,35598.59,145270,109671.51,35598.49,10679.62,8899.69,1779.93
East Hazel Crest,2,10,1357560.18,1253163.1,104397.08,453747,349349.88,104397.12,31319.2,26099.34,5219.86
East Moline,14,65,3365521.7,3069454.71,296066.99,964844,668776.26,296067.74,88820.84,74017.39,14803.45
East Peoria,22,98,4812980.36,4449161.01,363819.35,1518316,1154483.51,363832.49,109150.63,90958.89,18191.74
Edgewood,2,9,311266.81,289709.8,21557.01,92569,71011.89,21557.11,6467.21,5389.35,1077.86
Edinburg,2,9,159223.92,145837.19,13386.73,49508,36121.3,13386.7,4016.1,3346.75,669.35
Effingham,29,135,10734378.06,9946762.55,787615.51,3205873,2418165.26,787707.74,236313.64,196928.09,39385.55
El Paso,5,24,803434.23,737885.5,65548.73,236577,171027,65550,19665.32,16387.78,3277.54
Elburn,2,10,542846.99,494130.74,48716.25,173785,125068.61,48716.39,14615.05,12179.22,2435.83
Eldorado,6,29,1901680.43,1754293.07,147387.36,528961,381551.51,147409.49,44223.08,36852.56,7370.52
Eldred,3,10,236115.33,219618.92,16496.41,73473,56976.56,16496.44,4949.05,4124.2,824.85
Elgin,27,108,5497285.54,5024690.08,472595.46,1684663,1212066.74,472596.26,141780.02,118150.07,23629.95
Elizabeth,2,7,162851.14,149849.56,13001.58,55600,42598.4,13001.6,3900.55,3250.46,650.09
Elizabethtown,1,3,58604.13,55249.04,3355.09,16339,12983.91,3355.09,1006.53,838.77,167.76
Elk Grove Village,17,78,7589320.2,6978723.09,610597.11,2234316,1623718.95,610597.05,183179.71,152649.77,30529.94
Elkhart,1,4,161066.93,148964.67,12102.26,57748,45645.74,12102.26,3630.65,3025.54,605.11
Elmwood,3,12,435048.78,401508.4,33540.38,126632,93103.04,33528.96,10058.72,8382.27,1676.45
Elmwood Park,16,75,6820555.78,6267510.9,553044.88,2059731,1506686.25,553044.75,165914.33,138261.99,27652.34
Elwood,1,5,192236.67,180962.65,11274.02,60923,49648.98,11274.02,3382.27,2818.56,563.71
Emden,2,8,263594.81,234790.12,28804.69,84503,55687.34,28815.66,8644.65,7203.89,1440.76
Emington,1,4,11587.03,10061.54,1525.49,1929,403.51,1525.49,457.66,381.38,76.28
Erie,1,5,138565.42,126518.82,12046.6,48428,36381.4,12046.6,3614.03,3011.69,602.34
Essex,4,14,291958.52,267239.5,24719.02,87244,62523.07,24720.93,7416.46,6180.39,1236.07
Eureka,1,5,126055.77,119596.29,6459.48,38852,32392.52,6459.48,1937.85,1614.88,322.97
Evansville,3,10,308570.35,285331.95,23238.4,90815,67576.46,23238.54,6971.62,5809.68,1161.94
Evergreen Park,1,5,650249.78,599949,50300.78,207243,156948.27,50294.73,15088.46,12573.71,2514.75
Fairbury,4,16,724569.74,670186.57,54383.17,189087,134703.79,54383.21,16315.01,13595.85,2719.16
Fairfield,5,22,805642.38,737851.2,67791.18,216109,148296.73,67812.27,20343.69,16953.06,3390.63
Fairmont City,6,28,1465607.74,1352333.13,113274.61,468540,355286.29,113253.71,33976.5,28313.76,5662.74
Fairview,1,3,76704.49,73120.61,3583.88,22977,19393.45,3583.55,1075.08,895.9,179.18
Fairview Heights,11,50,3437816.58,3183433.65,254382.93,1001909,747526.22,254382.78,76315.27,63596.06,12719.21
Farina,2,10,1043708.6,962909,80799.6,266044,185100.91,80943.09,24282.96,20235.8,4047.16
Farmer City,4,20,1130572.88,1050161.61,80411.27,362325,281970.67,80354.33,24106.51,20088.76,4017.75
Farmersville,4,14,826343.32,762661.29,63682.03,241264,177571.46,63692.54,19107.89,15923.24,3184.65
Farmington,4,16,574112.41,522327.36,51785.05,165979,114194.39,51784.61,15535.67,12946.4,2589.27
Fayetteville,1,3,54288.56,47966.68,6321.88,15286,8964.12,6321.88,1896.63,1580.53,316.1
Fieldon,2,5,118388.96,104929.92,13459.04,36179,22699.65,13479.35,4043.92,3369.93,673.99
Findlay,1,4,61773,56664.03,5108.97,24186,19077.03,5108.97,1532.67,1277.22,255.45
Fisher,3,11,249613.21,235077.58,14535.63,81955,67419.27,14535.73,4360.79,3633.99,726.8
Fithian,1,5,149362.5,133652.33,15710.17,56071,40360.83,15710.17,4713.1,3927.58,785.52
Flanagan,2,8,144386.36,134640.97,9745.39,43413,33667.64,9745.36,2923.64,2436.37,487.27
Flora,7,34,2032130.42,1890155.8,141974.62,567836,425862.27,141973.73,42592.43,35493.68,7098.75
Florence,1,3,126342.04,113443.98,12898.06,44081,31182.84,12898.16,3869.46,3224.56,644.9
Flossmoor,1,5,99898.12,92725.44,7172.68,30915,23742.92,7172.08,2151.66,1793.05,358.61
Ford Heights,2,10,662980.18,601916.86,61063.32,229631,168546.38,61084.62,18325.46,15271.22,3054.24
Forest Park,9,41,515277.52,474726.98,40550.54,190258,149706.12,40551.88,12165.84,10138.21,2027.63
Forest View,3,14,2267485.53,2101152.75,166332.78,652295,485926.76,166368.24,49910.68,41592.23,8318.45
Forrest,1,3,96200.69,86937.53,9263.16,31022,21759.09,9262.91,2778.86,2315.71,463.15
Forreston,2,9,339479.28,312653.34,26825.94,107062,80236.31,26825.69,8047.78,6706.48,1341.3
Fox Lake,26,124,6894930.92,6351442.42,543488.5,2120106,1576549.14,543556.86,163068.23,135890.22,27178.01
Fox River Grove,7,31,2174096.54,2012939.32,161157.22,607894,446736.79,161157.21,48347.57,40289.63,8057.94
Franklin Park,11,49,2309820.24,2096161.89,213658.35,742489,528830.51,213658.49,64098.22,53415.2,10683.02
Freeburg,3,13,769396.17,710276.33,59119.84,211593,152473.26,59119.74,17736.03,14780.03,2956
Freeport,23,111,8936259.18,8235766.18,700493,2843246,2142698.97,700547.03,210165.26,175137.75,35027.51
Fulton,6,29,1879657.88,1747676.41,131981.47,539515,407533.46,131981.54,39594.7,32995.6,6599.1
Galena,6,23,1132715.85,1027448.66,105267.19,341297,236029.51,105267.49,31580.32,26316.94,5263.38
Galesburg,28,128,8719377.46,8038380.37,680997.09,2613233,1932235.84,680997.16,204300.27,170250.27,34050
Galva,2,10,630928.66,597869.48,33059.18,177461,144401.84,33059.16,9917.79,8264.83,1652.96
