Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Hennepin,2,8,154582.76,143205.67,11377.09,57391,46013.73,11377.27,3413.24,2844.37,568.87
Henry,5,23,844403.55,787394.46,57009.09,246458,189449.9,57008.1,17102.62,14252.2,2850.42
Herrin,19,83,4327053.39,3990065.49,336987.9,1291576,954587.68,336988.32,101097.26,84247.74,16849.52
Herscher,2,8,251499.84,228174.27,23325.57,99830,76504.47,23325.53,6997.77,5831.48,1166.29
Heyworth,4,15,860316.57,794962.41,65354.16,262264,196909.83,65354.17,19606.45,16338.71,3267.74
Hickory Hills,14,62,5077481.07,4682457.85,395023.22,1553321,1158283.42,395037.58,118511.5,98759.6,19751.9
Highland,14,63,2362942.33,2175718.35,187223.98,733236,546011.64,187224.36,56167.97,46806.63,9361.34
Hillsboro,6,23,652252.37,604571.47,47680.9,190501,142819.83,47681.17,14304.57,11920.48,2384.09
Hillsdale,1,5,453302.38,413038.39,40263.99,131204,90939.52,40264.48,12079.42,10066.18,2013.24
Hillside,3,12,1008590.1,923402.4,85187.7,344592,259404.3,85187.7,25556.44,21297.04,4259.4
Hinckley,3,13,540863.31,501499.76,39363.55,164702,125338.89,39363.11,11809.04,9840.87,1968.17
Hindsboro,3,14,393171.94,354708.05,38463.89,128908,90444.26,38463.74,11539.16,9615.97,1923.19
Hodgkins,2,9,1019630.29,944676.82,74953.47,315522,240568.83,74953.17,22486.05,18738.38,3747.67
Hoffman,1,3,84761.91,78276.45,6485.46,23504,17018.54,6485.46,1945.67,1621.4,324.27
Hoffman Estates,20,94,8076526.41,7415705.46,660820.95,2452919,1792097.84,660821.16,198247.38,165206.16,33041.22
Homer,1,4,102421.98,96189.97,6232.01,39730,33497.99,6232.01,1869.66,1558.05,311.61
Homer Glen,12,53,3484242.81,3253654.75,230588.06,1030444,799856.36,230587.64,69176.6,57647.17,11529.43
Hometown,5,25,3027275.29,2772112.47,255162.82,979532,724369.17,255162.83,76549.19,63791,12758.19
Homewood,6,30,1690561.53,1557480.17,133081.36,505128,372046.48,133081.52,39924.7,33270.58,6654.12
Hoopeston,4,17,916056.93,842574.11,73482.82,265205,191722.18,73482.82,22045.02,18370.85,3674.17
Hoyleton,1,5,299307.29,279768.37,19538.92,79065,59525.64,19539.36,5861.84,4884.87,976.97
Hudson,2,7,386954.38,354552.92,32401.46,113271,80869.5,32401.5,9720.58,8100.48,1620.1
Humboldt,1,5,133088.1,123288.15,9799.95,43288,33488.21,9799.79,2940,2450,490
Huntley,11,50,2846754.24,2599385.01,247369.23,822526,575156.08,247369.92,74211.64,61843.03,12368.61
Hurst,3,14,313984.57,289729.89,24254.68,97054,72799.23,24254.77,7276.45,6063.71,1212.74
Illiopolis,2,10,496892.21,454917.97,41974.24,146502,104527.74,41974.26,12592.29,10493.58,2098.71
Ina,1,4,852001.86,784589.76,67412.1,196023,128607.84,67415.16,20224.6,16853.84,3370.76
Indian Head Park,3,15,1466290.95,1352148.84,114142.11,466639,352497.19,114141.81,34242.66,28535.56,5707.1
Ipava,3,7,130852.42,120434.01,10418.41,35031,24612.78,10418.22,3125.52,2604.61,520.91
Iroquois,2,4,111285.67,102853.85,8431.82,32601,24169.18,8431.82,2529.61,2108,421.61
Irving,1,3,52774.83,46610.02,6164.81,17398,11233.19,6164.81,1849.5,1541.25,308.25
Island Lake,5,25,1546380.33,1429121.89,117258.44,501128,383869.33,117258.67,35177.83,29314.87,5862.96
Itasca,3,13,674949.49,628999.96,45949.53,183643,137682.07,45960.93,13788.38,11490.32,2298.06
Ivesdale,2,8,233400.21,212095.41,21304.8,83437,62132.13,21304.87,6391.57,5326.3,1065.27
Jacksonville,25,109,6771046.5,6231395.46,539651.04,2061933,1522289.89,539643.11,161893.77,134911.53,26982.24
Jasper County,2,10,383435.18,354489.24,28945.94,125268,96321.92,28946.08,8683.9,7236.58,1447.32
Jerome,6,30,2591950.55,2366019.31,225931.24,884683,658751.31,225931.69,67779.94,56483.28,11296.66
Jerseyville,9,37,1745526.47,1600146.7,145379.77,506290,360910.21,145379.79,43614.27,36345.24,7269.03
Johnsburg,10,48,2460932.58,2246205.64,214726.94,826899,612172.31,214726.69,64418.7,53682.24,10736.46
Johnston City,6,29,1789473.87,1642790.01,146683.86,505871,359186.51,146684.49,44005.69,36671.42,7334.27
Joliet,73,293,16986783.18,15641334.26,1345448.92,5188830,3843384,1345446,403636.32,336363.71,67272.61
Jonesboro,1,5,108477.51,97018.23,11459.28,32952,21492.72,11459.28,3437.84,2864.87,572.97
Joy,2,6,119226.8,109188.97,10037.83,29518,19480.17,10037.83,3011.36,2509.47,501.89
Junction City,1,4,110226.63,103035.18,7191.45,36245,29053.55,7191.45,2157.45,1797.88,359.57
Justice,12,58,3751977.65,3481247.4,270730.25,1161809,891078.8,270730.2,81219.34,67682.8,13536.54
Kampsville,2,6,144882.52,130067.4,14815.12,45564,30748.95,14815.05,4444.61,3703.84,740.77
Kane,1,4,100651.05,91062.42,9588.63,32088,22499.21,9588.79,2876.63,2397.19,479.44
Kangley,1,3,114442.98,105181.57,9261.41,33366,24104.59,9261.41,2778.5,2315.42,463.08
Kankakee,39,180,9481931.11,8708817.19,773113.92,3279127,2506237.52,772889.48,231868.66,193223.93,38644.73
Kappa,1,4,155258.8,145250.04,10008.76,54656,44647.24,10008.76,3002.71,2502.26,500.45
Keithsburg,2,7,147507.59,139787.87,7719.72,47836,40116.53,7719.47,2315.91,1929.93,385.98
Kempton,1,3,29308.31,26148.46,3159.85,11253,8093.21,3159.79,947.95,789.96,157.99
Kenney,1,5,133160.59,125131.62,8028.97,33999,25969.86,8029.14,2408.83,2007.36,401.47
Kewanee,23,93,3605217.99,3327500.53,277717.46,1133587,855869.01,277717.99,83316.16,69430.16,13886
Keyesport,2,9,309136.39,289386.14,19750.25,101347,81596.75,19750.25,5925.16,4937.64,987.52
Kilbourne,1,5,105532.45,93334.85,12197.6,38629,26431.4,12197.6,3659.29,3049.41,609.88
Kincaid,1,4,100731.05,94328.07,6402.98,32999,26596.02,6402.98,1920.89,1600.74,320.15
Kingston,2,8,371790.48,346225.38,25565.1,110687,85121.8,25565.2,7669.63,6391.36,1278.27
Kingston Mines,2,6,76047.47,66278.61,9768.86,22272,12503.35,9768.65,2930.64,2442.21,488.43
Kirkland,3,11,166668.65,155829.61,10839.04,49212,38372.81,10839.19,3251.82,2709.84,541.98
Knoxville,2,7,353843,323186.15,30656.85,104097,73439.65,30657.35,9197.32,7664.43,1532.89
La Salle,25,104,4463607.4,4113308.16,350299.24,1425661,1075353.22,350307.78,105093.09,87577.6,17515.49
Lacon,6,22,575314.62,540298.41,35016.21,180013,144996.79,35016.21,10504.95,8754.12,1750.83
Ladd,3,13,470194.05,430196.02,39998.03,144119,104120.76,39998.24,11999.56,9999.63,1999.93
Lake In the Hills,11,49,4248847.26,3924211.76,324635.5,1347087,1022289.57,324797.43,97439.8,81199.85,16239.95
Lake Villa,8,37,2931487.25,2700086.51,231400.74,969487,738087.06,231399.94,69420.33,57850.27,11570.06
Lake Zurich,11,53,3912179.72,3607263.45,304916.27,1172020,867104.13,304915.87,91475.11,76229.26,15245.85
Lakemoor,4,20,1425934.73,1319494.5,106440.23,425745,319305.02,106439.98,31932.2,26610.18,5322.02
Lamoille,1,3,191222.02,178007.89,13214.13,54772,41557.87,13214.13,3964.23,3303.53,660.7
Lanark,2,5,175402.43,161830.44,13571.99,52494,38922.16,13571.84,4071.54,3392.96,678.58
Lansing,12,54,3274153.76,3018368.4,255785.36,1016236,760450.58,255785.42,76736.16,63946.81,12789.35
Lawrence County,6,27,2319350.19,2139354.53,179995.66,677209,497220.8,179988.2,53996.64,44997.23,8999.41
Lawrenceville,8,37,1436394.38,1326753.75,109640.63,412177,302535.41,109641.59,32892.75,27410.63,5482.12
Lebanon,4,16,582131.54,534626.86,47504.68,205562,158057.41,47504.59,14251.46,11876.23,2375.23
Lee,1,3,65511.39,60097.95,5413.44,22064,16650.58,5413.42,1624.04,1353.36,270.68
Leland,1,5,127699.98,119116.96,8583.02,43547,34964.08,8582.92,2574.94,2145.79,429.15
Lemont,14,66,3996374.75,3693865.73,302509.02,1258868,956359.66,302508.34,90753.05,75627.59,15125.46
Lena,4,17,431498.66,395057.05,36441.61,128700,92271.38,36428.62,10928.82,9107.36,1821.46
Lenzburg,1,4,255926.33,241528.83,14397.5,87432,73034.5,14397.5,4319.29,3599.41,719.88
Leonore,1,2,81624.13,76710.17,4913.96,25303,20389.05,4913.95,1474.23,1228.53,245.7
Leroy,5,22,1481783.79,1363819.89,117963.9,416288,298324.74,117963.26,35389.22,29491.03,5898.19
Lewistown,4,13,416523.47,384924.54,31598.93,118091,86491.68,31599.32,9479.92,7899.94,1579.98
Lexington,2,9,181008.37,166821.67,14186.7,45609,31422.3,14186.7,4256.06,3546.72,709.34
Limestone,1,5,140629.99,136654.79,3975.2,43275,39299.84,3975.16,1192.58,993.81,198.77
Lincoln,16,79,6367612.25,5852472.4,515139.85,1923195,1408866.18,514328.82,154299.52,128582.93,25716.59
Lindenhurst,1,5,524837.54,476556.69,48280.85,166219,117938.18,48280.82,14484.35,12070.29,2414.06
Litchfield,13,61,3289739.18,3016879.7,272859.48,941817,668903.23,272913.77,81874.44,68228.73,13645.71
Little York,1,3,65419.67,59415.42,6004.25,17438,11433.75,6004.25,1801.3,1501.09,300.21
Livingston,1,3,107355.72,98480.55,8875.17,33173,24297.83,8875.17,2662.55,2218.79,443.76
Loami,1,4,78478.79,70416.6,8062.19,27381,19318.81,8062.19,2418.63,2015.52,403.11
Lockport,14,66,4546829.09,4200312.22,346516.87,1331245,984719.84,346525.16,103958.08,86631.73,17326.35
Loda,2,9,326656.72,301192.54,25464.18,103918,78453.43,25464.57,7639.56,6366.3,1273.26
Lomax,2,6,203086.01,186267.15,16818.86,57709,40890.14,16818.86,5045.74,4204.78,840.96
London Mills,1,4,279326.99,257333.42,21993.57,78476,56482.53,21993.47,6598.12,5498.44,1099.68
Long Creek,3,15,1055458.79,969066.6,86392.19,351910,265517.37,86392.63,25917.96,21598.3,4319.66
Long Grove,5,19,512575.01,476302.07,36272.94,152495,116221.49,36273.51,10882.08,9068.42,1813.66
Long Point,1,4,83145.57,80031.18,3114.39,29069,25954.93,3114.07,934.24,778.53,155.71
Loraine,1,4,187089.85,177839.16,9250.69,43951,34700.25,9250.75,2775.32,2312.76,462.56
Lostant,2,4,0,0,0,0,0,0,0,0,0
Loves Park,47,229,20239791.84,18685503.77,1554288.07,6152640,4598353.65,1554286.35,466287.78,388573.18,77714.6
Lovington,2,10,401815.74,373860.37,27955.37,104643,76688.63,27954.37,8386.37,6988.64,1397.73
Ludlow,1,2,119177.29,113423.32,5753.97,31940,26186.03,5753.97,1726.18,1438.48,287.7
Lyndon,2,9,361592.18,326993.59,34598.59,113876,79277.31,34598.69,10379.62,8649.69,1729.93
Lynwood,9,44,3058730.83,2826099.68,232631.15,919544,686913.75,232630.25,69789.14,58157.63,11631.51
Lyons,18,89,5922651.68,5461231.42,461420.26,1772610,1311190.24,461419.76,138426.7,115355.64,23071.06
Machesney Park,14,66,4895532.27,4504586.73,390945.54,1451670,1060724.67,390945.33,117284.09,97736.76,19547.33
Mackinaw,1,4,125567.03,113663.95,11903.08,46124,34220.72,11903.28,3571.05,2975.88,595.17
Macomb,9,31,1055409.96,966127.62,89282.34,303871,214587.98,89283.02,26785.27,22321.07,4464.2
Macon,3,15,783541.68,717639.92,65901.76,235052,169149.95,65902.05,19770.84,16475.72,3295.12
Madison,9,40,2891138.16,2645970.95,245167.21,871812,626578.37,245233.63,73570.41,61308.66,12261.75
Magnolia,1,5,121573.49,110420.61,11152.88,40323,29170.12,11152.88,3345.91,2788.26,557.65
Mahomet,2,8,166020.64,152217.4,13803.24,64739,50935.51,13803.49,4141.1,3450.92,690.18
Malta,1,5,312363.37,286758.36,25605.01,94211,68605.99,25605.01,7681.53,6401.28,1280.25
Manhattan,4,20,1056664.85,976492.29,80172.56,329813,249639.9,80173.1,24052.05,20043.38,4008.67
Manito,2,10,360252.3,328046.28,32206.02,124662,92455.98,32206.02,9661.84,8051.53,1610.31
Manlius,2,7,161857.79,144159.31,17698.48,73804,56105.42,17698.58,5309.62,4424.69,884.93
Mansfield,1,5,261192.5,237899.63,23292.87,79037,55744.09,23292.91,6987.93,5823.28,1164.65
Manteno,13,62,3094408.45,2849732.34,244676.11,983416,738736.16,244679.84,73404.57,61170.5,12234.07
Maple Park,4,14,445401.26,407447.88,37953.38,135720,97766.58,37953.42,11386.14,9488.46,1897.68
Mapleton,1,3,162350.01,152596.41,9753.6,56078,46324.4,9753.6,2926.09,2438.41,487.68
Maquon,1,3,47147.26,42185.76,4961.5,15474,10512.5,4961.5,1488.5,1240.42,248.08
Marengo,10,47,1912992.78,1745750.02,167242.76,657273,490057.26,167215.74,50165.18,41804.34,8360.84
Marietta,2,8,285080.49,259550.95,25529.54,91885,66355.34,25529.66,7659.03,6382.53,1276.5
Marine,2,9,543812.9,501736.89,42076.01,182306,140230.09,42075.91,12622.84,10519.04,2103.8
Marion,18,78,5891120.42,5448579.53,442540.89,1699679,1257061.96,442617.04,132786.03,110655.04,22130.99
Marissa,2,8,388882.05,352847.82,36034.23,133759,97724.92,36034.08,10810.32,9008.61,1801.71
Mark,1,4,136116.55,130226.24,5890.31,41700,35809.69,5890.31,1767.12,1472.6,294.52
Markham,8,39,2729684.12,2521237.41,208446.71,917375,708928.34,208446.66,62534.28,52111.93,10422.35
Maroa,1,5,197898.03,176235.42,21662.61,67617,45954.57,21662.43,6498.74,5415.62,1083.12
Marseilles,11,45,1724973.34,1608219.82,116753.52,538487,421733.45,116753.55,35026.57,29188.82,5837.75
Marshall,4,18,2344434.06,2165629.55,178804.51,600632,421774.96,178857.04,53657.23,44714.36,8942.87
Martinsville,1,5,422854.8,386440.59,36414.21,111890,75535.77,36354.23,10906.31,9088.59,1817.72
Martinton,1,2,50100.75,44435.33,5665.42,12222,6552.03,5669.97,1701.03,1417.52,283.51
Mascoutah,11,42,2332597.54,2177762.6,154834.94,705020,550208.18,154811.82,46443.83,38703.19,7740.64
Mason City,4,15,526413.76,487101.94,39311.82,156010,116698.1,39311.9,11793.74,9828.13,1965.61
Mason County,4,14,388005.96,356021.24,31984.72,114205,82220.23,31984.77,9595.55,7996.29,1599.26
Matherville,1,3,47896.14,43684.99,4211.15,16809,12597.85,4211.15,1263.41,1052.84,210.57
Matteson,11,49,4205531.69,3869969.01,335562.68,1411933,1076369.98,335563.02,100669.44,83891.23,16778.21
Mattoon,29,144,8531052.2,7877161.24,653890.96,2626282,1972374.73,653907.27,196173.68,163478.07,32695.61
Maywood,1,5,351641.08,325684.57,25956.51,119402,93445.49,25956.51,7787,6489.17,1297.83
Mazon,1,5,168275.4,154464.09,13811.31,55975,42163.54,13811.46,4143.51,3452.92,690.59
McClure,1,3,154193.19,144257.86,9935.33,36402,26466.67,9935.33,2980.62,2483.86,496.76
McCook,6,26,1406229.37,1297549.96,108679.41,423653,314973.97,108679.03,32604,27170.01,5433.99
McCullom Lake,1,5,178888.37,163376.8,15511.57,68127,52615.43,15511.57,4653.58,3877.99,775.59
McHenry,32,140,8577054.98,7874772.89,702282.09,2692658,1990615.31,702042.69,210614.13,175511.84,35102.29
McLean,1,5,731049.74,679729.26,51320.48,207825,156458.79,51366.21,15409.83,12841.53,2568.3
Mcleansboro,3,14,651723.21,614865.59,36857.62,176520,139662.43,36857.57,11057.32,9214.44,1842.88
McNabb,1,4,90508.3,82823.52,7684.78,28017,20332.19,7684.81,2305.47,1921.22,384.25
Mechanicsburg,3,9,185572.48,172169.69,13402.79,57333,43930.21,13402.79,4020.88,3350.74,670.14
Melrose Park,22,98,6639560.95,6104945.34,534615.61,2035952,1501336.1,534615.9,160385.65,133654.75,26730.9
Mendon,2,9,348233.59,319640,28593.59,88633,60039.23,28593.77,8578.19,7148.49,1429.7
Mendota,15,63,2686287.3,2483672.04,202615.26,794078,591462.1,202615.9,60785.3,50654.44,10130.86
Menominee,2,8,52306.71,48780.18,3526.53,25270,21737.53,3532.47,1059.82,883.19,176.63
Meredosia,2,10,395475.14,358537.31,36937.83,123768,86830.29,36937.71,11081.47,9234.57,1846.9
Merrionette Park,4,17,1660992.73,1507817.89,153174.84,542541,389365.91,153175.09,45952.64,38293.86,7658.78
Metamora,1,5,234828.99,217466.41,17362.58,69094,51731.41,17362.59,5208.82,4340.68,868.14
Metcalf,1,5,117941.52,111207.35,6734.17,29333,22599.63,6733.37,2020.03,1683.36,336.67
Metropolis,7,31,2627123.69,2427698.28,199425.41,725464,526363.18,199100.82,59730.41,49775.36,9955.05
Middletown,1,4,108388.74,98220.27,10168.47,29557,19388.53,10168.47,3050.62,2542.19,508.43
Midlothian,22,105,5186893.97,4770828.64,416065.33,1699961,1283895.15,416065.85,124820.69,104017.28,20803.41
Milan,9,34,1510649.52,1391742.16,118907.36,434785,315877.62,118907.38,35672.31,29726.93,5945.38
Milford,2,9,256916.53,237901.26,19015.27,82018,63002.78,19015.22,5704.62,4753.85,950.77
Milledgeville,1,4,143143.79,132364.16,10779.63,52767,41987.22,10779.78,3233.94,2694.95,538.99
Millington,2,6,121458.2,112070.77,9387.43,44007,34619.6,9387.4,2816.24,2346.87,469.37
Millstadt,6,22,1006505.55,938554.24,67951.31,303785,235834.14,67950.86,20385.42,16987.86,3397.56
Mineral,1,5,233373.08,219016.39,14356.69,82465,68108.31,14356.69,4307.07,3589.23,717.84
Minier,2,8,295299.14,272662.2,22636.94,105694,82969.98,22724.02,6817.27,5681.06,1136.21
Minonk,4,15,800712.08,738503.62,62208.46,228978,166760.09,62217.91,18665.47,15554.57,3110.9
Minooka,10,45,1646277.09,1503767.06,142510.03,496773,354041.55,142731.45,42819.79,35683.15,7136.64
Mokena,13,61,6144249.91,5664355.04,479894.87,1771469,1291525.28,479943.72,143983.66,119986.41,23997.25
Moline,29,103,4525276.22,4157852.47,367423.75,1386580,1019098.81,367481.19,110244.85,91870.75,18374.1
Momence,8,35,946259.3,873053.92,73205.38,334723,261517.38,73205.62,21961.9,18301.6,3660.3
Monee,9,43,2845206.46,2618921.47,226284.99,854791,628384.43,226406.57,67922.37,56601.98,11320.39
Monmouth,9,36,1543365.28,1410328.4,133036.88,468594,335530.84,133063.16,39919.33,33266.1,6653.23
Monroe Center,3,13,745075.6,686842.87,58232.73,245897,187739.85,58157.15,17447.24,14539.37,2907.87
Montgomery,7,31,1688855.37,1553832.61,135022.76,493109,358007.64,135101.36,40530.73,33775.63,6755.1
Monticello,9,41,1998881.19,1835028.52,163852.67,613634,449780.87,163853.13,49156.14,40963.46,8192.68
Montrose,1,5,244270.17,226525.11,17745.06,82840,65094.94,17745.06,5323.58,4436.32,887.26
Morris,25,98,5582031.03,5108918.22,473112.81,1755271,1282158.61,473112.39,141934.62,118278.88,23655.74
Morrison,5,25,759980.75,691024.99,68955.76,243978,175022.28,68955.72,20686.92,17239.1,3447.82
Morrisonville,2,9,246565.78,223448.03,23117.75,69700,46582.32,23117.68,6935.37,5779.47,1155.9
Morton Grove,8,40,7306090.39,6740502.71,565587.68,2006985,1441397.33,565587.67,169676.79,141397.33,28279.46
Mound City,1,5,126437.55,112773.01,13664.54,38381,24716.5,13664.5,4099.42,3416.19,683.23
Mount Auburn,1,4,147517.55,137290.4,10227.15,31769,21541.85,10227.15,3068.12,2556.77,511.35
Mount Carmel,8,36,1797610.93,1664909.46,132701.47,411561,278859.69,132701.31,39810.59,33175.49,6635.1
Mount Carroll,3,12,288001.32,264396.21,23605.11,81950,58346.38,23603.62,7081.19,5901,1180.19
Mount Clare,2,10,573206.03,526790.3,46415.73,167781,121365.75,46415.25,13924.68,11603.91,2320.77
Mount Morris,7,28,678899.45,618846.46,60052.99,241131,181078.28,60052.72,18015.96,15013.32,3002.64
Mount Olive,7,30,919201.24,844273.92,74927.32,251615,176687.68,74927.32,22478.4,18732.01,3746.39
Mount Pulaski,1,5,328612.96,298847.85,29765.11,109037,79271.89,29765.11,8929.63,7441.36,1488.27
Mount Sterling,2,6,80093.74,72492.93,7600.81,21835,14234.19,7600.81,2280.26,1900.22,380.04
Mount Vernon,17,77,7264866.5,6729881.04,534985.46,2021767,1486707.85,535059.15,160518.67,133765.58,26753.09
Mount Zion,3,15,831766.16,756507.54,75258.62,282729,207470.33,75258.67,22577.74,18814.79,3762.95
Moweaqua,2,6,167241.1,151173.06,16068.04,51658,35589.93,16068.07,4820.51,4017.1,803.41
Muddy,1,5,209275.46,195702.87,13572.59,57187,43614.79,13572.21,4071.71,3393.09,678.62
Mulberry Grove,1,3,106379.99,98890.89,7489.1,30127,22637.9,7489.1,2246.72,1872.26,374.46
Mundelein,10,46,2999771.49,2749891.85,249879.64,910576,660696.21,249879.79,74964.43,62470.37,12494.06
Murphysboro,8,39,1890133.81,1753232.1,136901.71,534059,397157.5,136901.5,41070.86,34225.72,6845.14
Naplate,4,17,655279.03,615464.76,39814.27,215162,175347.49,39814.51,11944.39,9953.67,1990.72
Naples,1,3,51770.06,46436.63,5333.43,19707,14373.42,5333.58,1600.13,1333.45,266.68
Nashville,7,32,1871362.91,1721152.14,150210.77,577973,427739.58,150233.42,45070.34,37558.62,7511.72
Nelson,1,4,177613.27,164112.71,13500.56,51434,37933.41,13500.59,4050.24,3375.2,675.04
Neoga,3,13,749090.17,696989.6,52100.57,228120,176019.68,52100.32,15630.25,13025.22,2605.03
Neponset,2,9,242926.44,222594.84,20331.6,84023,63691.4,20331.6,6099.53,5082.95,1016.58
New Athens,2,8,154413.65,142113.38,12300.27,47979,35678.73,12300.27,3690.2,3075.17,615.03
New Baden,3,12,926580,855140.19,71439.81,250337,178883.85,71453.15,21436.05,17863.38,3572.67
New Berlin,2,10,649239.28,588379.3,60859.98,201067,140206.83,60860.17,18258.12,15215.1,3043.02
New Boston,2,8,303310.54,278841.85,24468.69,77778,53309.28,24468.72,7340.7,6117.25,1223.45
New Canton,2,8,241007.55,216599.63,24407.92,79345,54937.02,24407.98,7322.41,6102.02,1220.39
New Douglas,1,4,103870.83,98488.61,5382.22,28922,23539.78,5382.22,1614.64,1345.54,269.1
New Holland,2,7,141384.64,132099.69,9284.95,36754,27468.9,9285.1,2785.56,2321.29,464.27
New Lenox,12,55,3544712.33,3271826.45,272885.88,1167882,894799.31,273082.69,81924.94,68270.77,13654.17
New Milford,4,20,1024219.32,942145.13,82074.19,316797,234722.81,82074.19,24622.48,20518.74,4103.74
New Minden,1,5,37152.28,33462.92,3689.36,12527,8837.58,3689.42,1106.79,922.33,184.46
Newman,1,4,98159.49,90352.82,7806.67,28079,20272.41,7806.59,2341.96,1951.64,390.32
Newton,6,24,527241.76,488841.41,38400.35,151539,113138.82,38400.18,11520.29,9600.25,1920.04
Niantic,1,3,73328.19,65582.21,7745.98,19492,11745.86,7746.14,2323.87,1936.56,387.31
Niles,10,48,2231168.1,2046511.67,184656.43,765786,581130.52,184655.48,55397.07,46164.26,9232.81
Nokomis,4,14,325138.99,298670.98,26468.01,95627,69159.13,26467.87,7940.45,6617.04,1323.41
Nora,1,3,44038.18,38658.71,5379.47,13304,7924.63,5379.37,1613.83,1344.86,268.97
Normal,12,55,4265334.87,3934404.72,330930.15,1366177,1035141.83,331035.17,99311.06,82759.22,16551.84
Norridge,8,38,3492415.75,3230341.03,262074.72,1060944,798868.3,262075.7,78623.13,65519.28,13103.85
Norris,1,2,53865.24,47541.09,6324.15,16767,10442.85,6324.15,1897.29,1581.08,316.21
Norris City,1,3,67620.15,63863.35,3756.8,18256,14499.2,3756.8,1127.06,939.22,187.84
North Aurora,7,30,1723185.53,1585512.08,137673.45,520479,382805.55,137673.45,41302.25,34418.54,6883.71
North Chicago,12,56,3900631.31,3600270.82,300360.49,1376901,1076538.4,300362.6,90109.35,75091.16,15018.19
North City,1,5,362237.23,331103.87,31133.36,113312,82178.64,31133.36,9340.07,7783.39,1556.68
North Pekin,7,30,1190467.11,1094216.46,96250.65,367950,271699.19,96250.81,28875.41,24062.87,4812.54
North Riverside,10,48,4382693.11,4031907.05,350786.06,1463906,1113119.54,350786.46,105236.31,87696.94,17539.37
North Utica,6,26,1436461.46,1341715.06,94746.4,427012,332643.63,94368.37,28310.88,23592.42,4718.46
Northlake,10,44,2872009.04,2643874.21,228134.83,916428,688041.12,228386.88,68516.45,57097.06,11419.39
Norwood,1,4,177911.51,164881.56,13029.95,65712,52682.05,13029.95,3909.03,3257.53,651.5
O'Fallon,12,54,2875751.1,2643376.78,232374.32,894536,662152.42,232383.58,69715.5,58096.29,11619.21
Oak Forest,17,81,6774875.97,6276894.87,497981.1,2172285,1674302.42,497982.58,149395.54,124496.32,24899.22
Oak Grove,1,5,530574.35,483348.82,47225.53,153474,106248.47,47225.53,14167.71,11806.43,2361.28
Oak Lawn,39,190,15617149.62,14386842.83,1230306.79,4777363,3547076.68,1230286.32,369087.72,307573.19,61514.53
Oakbrook Terrace,10,50,5245035.7,4833535.08,411500.62,1562401,1150899.98,411501.02,123450.87,102875.72,20575.15
Oakdale,1,4,90104.9,81830.58,8274.32,32398,24123.68,8274.32,2482.33,2068.61,413.72
Oakford,1,4,81277.16,73679.25,7597.91,30700,23102.09,7597.91,2279.36,1899.47,379.89
Oakland,1,4,20445.47,20978.26,-532.79,8215,8747.79,-532.79,-159.8,-133.17,-26.63
Oakwood,3,15,1498508.9,1379574.76,118934.14,445579,326518.64,119060.36,35718.29,29765.25,5953.04
Oblong,2,8,216236.61,199301.47,16935.14,55693,38757.86,16935.14,5080.64,4233.87,846.77
Oconee,1,5,335012.7,310888.72,24123.98,92488,68363.88,24124.12,7237.32,6031.11,1206.21
Odell,2,7,248193.67,229773.73,18419.94,73458,55037.57,18420.43,5526.27,4605.24,921.03
Ogden,2,10,535512.56,486843.39,48669.17,184383,135713.83,48669.17,14600.92,12167.43,2433.49
Ogle County,3,14,352286.46,326257.99,26028.47,112779,86748.55,26030.45,7809.26,6507.72,1301.54
Oglesby,12,52,2079469.59,1919009.35,160460.24,648219,487763.77,160455.23,48136.92,40114.09,8022.83
Ohio,1,3,80149.78,73167.59,6982.19,21975,14992.81,6982.19,2094.64,1745.53,349.11
Ohlman,1,4,168473.15,152942.1,15531.05,51599,36060.95,15538.05,4661.45,3884.54,776.91
Okawville,7,26,915234.41,845105.84,70128.57,277759,207412.56,70346.44,21104.01,17586.67,3517.34
Old Shawneetown,1,3,57331.24,50112.73,7218.51,15730,8511.3,7218.7,2165.64,1804.71,360.93
Olney,10,44,2242723.65,2064634.46,178089.19,622788,444954.57,177833.43,53350.49,44458.76,8891.73
Olympia Fields,1,4,12615.88,12032.73,583.15,3779,3195.85,583.15,174.95,145.79,29.16
Onarga,1,4,130829.21,118283.36,12545.85,62900,50354.15,12545.85,3763.81,3136.51,627.3
Oquawka,3,13,492312.22,451772.29,40539.93,119337,78797.04,40539.96,12162.12,10135.1,2027.02
Orangeville,2,6,164896.15,150238.5,14657.65,55491,40833.35,14657.65,4397.42,3664.53,732.89
Oreana,1,3,15243.85,14653.96,589.89,4370,3780.11,589.89,176.97,147.47,29.5
Oregon,11,51,2508150.97,2317451.43,190699.54,753228,562425.11,190802.89,57241.4,47701.19,9540.21
Orient,2,9,370922.24,345754.05,25168.19,110515,85350.33,25164.67,7549.5,6291.24,1258.26
Orion,3,10,274550.87,249334.42,25216.45,83539,58322.55,25216.45,7565.01,6304.18,1260.83
Orland Hills,4,20,2777311.41,2581556.89,195754.52,772893,577130.03,195762.97,58729.16,48940.97,9788.19
Oswego,9,42,3052548.31,2806066.83,246481.48,943749,697266.68,246482.32,73945.32,61621.12,12324.2
