"","X1","team_id","year","league_id","rank","g","ghome","w","l","r","ab","h","double","triple","hr","bb","so","sb","cs","hbp","sf","ra","er","era","cg","sho","sv","ipouts","ha","hra","bba","soa","e","dp","fp","name","park","attendance","salary"
"211",211,"CLE",1987,"AL",7,162,81,61,101,742,5606,1476,267,30,187,489,977,140,54,NA,NA,957,834,5.28,24,8,25,4266,1566,219,606,849,152,128,0.97,"Cleveland Indians","Cleveland Stadium",1077898,304062.5
"212",212,"CLE",1988,"AL",6,162,81,78,84,666,5505,1435,235,28,134,416,866,97,50,NA,NA,731,663,4.16,35,10,46,4302,1501,120,442,812,124,131,0.98,"Cleveland Indians","Cleveland Stadium",1411610,373166.666666667
"213",213,"CLE",1989,"AL",6,162,81,73,89,604,5463,1340,221,26,127,499,934,74,51,NA,NA,654,589,3.65,23,13,38,4359,1423,107,452,844,118,126,0.98,"Cleveland Indians","Cleveland Stadium",1285542,336833.333333333
"214",214,"CLE",1990,"AL",4,162,81,77,85,732,5485,1465,266,41,110,458,836,107,52,NA,NA,737,675,4.26,12,10,47,4281,1491,163,518,860,117,146,0.98,"Cleveland Indians","Cleveland Stadium",1225240,470566.666666667
"215",215,"CLE",1991,"AL",7,162,82,57,105,576,5470,1390,236,26,79,449,888,84,58,NA,NA,759,677,4.23,22,8,33,4323,1551,110,441,862,142,150,0.97,"Cleveland Indians","Cleveland Stadium",1051863,566851.851851852
"216",216,"CLE",1992,"AL",4,162,81,76,86,674,5620,1495,227,24,127,448,885,144,67,NA,NA,746,671,4.11,13,7,46,4410,1507,159,566,890,141,176,0.97,"Cleveland Indians","Cleveland Stadium",1224094,258728.606060606
"217",217,"CLE",1993,"AL",6,162,81,76,86,790,5619,1547,264,31,141,488,843,159,55,NA,NA,813,735,4.58,7,8,45,4335,1591,182,591,888,148,174,0.97,"Cleveland Indians","Cleveland Stadium",2177908,464368.421052632
"218",218,"CLE",1994,"AL",2,113,51,66,47,679,4022,1165,240,20,167,382,629,131,48,NA,NA,562,493,4.36,17,5,21,3054,1097,94,404,666,90,119,0.98,"Cleveland Indians","Jacobs Field",1995174,871157.142857143
"219",219,"CLE",1995,"AL",1,144,72,100,44,840,5028,1461,279,23,207,542,766,132,53,NA,NA,607,554,3.83,10,10,50,3903,1261,135,445,926,101,142,0.98,"Cleveland Indians","Jacobs Field",2842745,1109936.32352941
"220",220,"CLE",1996,"AL",1,161,80,99,62,952,5681,1665,335,23,218,671,844,160,50,NA,NA,769,702,4.35,13,9,46,4356,1530,173,484,1033,124,156,0.98,"Cleveland Indians","Jacobs Field",3318174,1551850.32258065
"221",221,"CLE",1997,"AL",1,161,81,86,75,868,5556,1589,301,22,220,617,955,118,59,NA,NA,815,749,4.73,4,3,39,4275,1528,181,575,1036,108,159,0.98,"Cleveland Indians","Jacobs Field",3404750,1947705.51724138
"222",222,"CLE",1998,"AL",1,162,81,89,73,850,5616,1530,334,30,198,630,1061,143,60,NA,NA,779,722,4.45,9,4,47,4380,1552,171,563,1037,110,146,0.98,"Cleveland Indians","Jacobs Field",3467299,1834844.06451613
"223",223,"CLE",1999,"AL",1,162,81,97,65,1009,5634,1629,309,32,209,743,1099,147,50,NA,NA,860,789,4.9,3,6,46,4350,1503,197,634,1120,106,153,0.98,"Cleveland Indians","Jacobs Field",3468456,2007735.05555556
"224",224,"CLE",2000,"AL",2,162,81,90,72,950,5683,1639,310,30,221,685,1057,113,34,51,52,816,775,4.84,6,5,34,4327,1511,173,666,1213,72,147,0.988,"Cleveland Indians","Jacobs Field",3456278,3027030.84
"225",225,"CLE",2001,"AL",1,162,80,91,71,897,5600,1559,294,37,212,577,1076,79,41,69,62,821,746,4.64,3,4,42,4340,1512,148,573,1218,107,137,0.982,"Cleveland Indians","Jacobs Field",3175523,3190586.24137931
"226",226,"CLE",2002,"AL",3,162,81,74,88,739,5423,1349,255,26,192,542,1000,52,37,56,39,837,777,4.91,9,4,34,4274,1508,142,603,1058,113,161,0.981,"Cleveland Indians","Jacobs Field",2616940,2746569.60714286
"227",227,"CLE",2003,"AL",4,162,81,68,94,699,5572,1413,296,26,158,466,1062,86,61,62,41,778,682,4.21,5,7,34,4378,1477,179,501,943,126,178,0.98,"Cleveland Indians","Jacobs Field",1730002,1378787.37931034
"228",228,"CLE",2004,"AL",3,162,81,80,82,858,5676,1565,345,29,184,606,1009,94,55,78,42,857,784,4.81,8,8,32,4400,1553,201,579,1115,106,152,0.983,"Cleveland Indians","Jacobs Field",1814401,1203600
"229",229,"CLE",2005,"AL",2,162,81,93,69,790,5609,1522,337,30,207,503,1093,62,36,54,50,642,582,3.61,6,10,51,4358,1363,157,413,1050,106,156,0.983,"Cleveland Indians","Jacobs Field",2013763,1470928.57142857
"230",230,"CLE",2006,"AL",4,162,81,78,84,870,5619,1576,351,27,196,556,1204,55,23,54,43,782,698,4.41,13,13,24,4270,1583,166,429,948,118,165,0.981,"Cleveland Indians","Jacobs Field",1997995,2241260
"231",231,"CLE",2007,"AL",1,162,80,96,66,811,5604,1504,305,27,178,590,1202,72,41,80,59,704,658,4.05,9,9,49,4388,1519,146,410,1047,92,167,0.985,"Cleveland Indians","Jacobs Field",2275912,2188916.67857143
"232",232,"CLE",2008,"AL",3,162,81,81,81,805,5543,1455,339,22,171,560,1213,77,29,103,49,761,711,4.45,10,13,31,4311,1530,170,444,986,94,182,0.985,"Cleveland Indians","Jacobs Field",2169760,3037310.23076923
"233",233,"CLE",2009,"AL",4,162,81,65,97,773,5568,1468,314,28,161,582,1211,84,31,81,50,865,806,5.06,5,6,25,4302,1570,183,598,986,97,170,0.984,"Cleveland Indians","Jacobs Field",1766242,2753044.84615385
"234",234,"CLE",2010,"AL",4,162,81,69,93,646,5487,1362,290,20,128,545,1184,91,33,64,33,752,684,4.3,10,4,34,4299,1477,147,572,967,110,179,0.982,"Cleveland Indians","Jacobs Field",1394812,2170677.35714286
"235",235,"CLE",2011,"AL",2,162,81,80,82,704,5509,1380,290,26,154,494,1269,89,42,65,43,760,683,4.23,2,4,38,4360,1482,153,463,1024,110,130,0.982,"Cleveland Indians","Jacobs Field",1840835,1681950.55172414
"236",236,"CLE",2012,"AL",4,162,81,68,94,667,5525,1385,266,24,136,555,1087,110,44,59,39,845,766,4.78,2,6,43,4326,1503,174,543,1086,96,157,0.984,"Cleveland Indians","Progressive Field",1603596,2536223.07692308
"237",237,"CLE",2013,"AL",2,162,81,92,70,745,5465,1391,290,23,171,562,1283,117,36,51,56,662,611,3.82,3,16,38,4324,1359,147,554,1379,98,135,0.983,"Cleveland Indians","Progressive Field",1572926,2706135.71428571
"238",238,"CLE",2014,"AL",3,162,81,85,77,669,5575,1411,284,23,142,504,1189,104,27,42,49,653,581,3.56,6,15,40,4405,1398,135,464,1450,116,139,0.981,"Cleveland Indians","Progressive Field",1437393,3159688.42307692
"239",239,"CLE",2015,"AL",3,161,80,81,80,669,5439,1395,303,29,141,533,1157,86,28,39,50,640,584,3.67,11,10,38,4298,1274,161,425,1407,79,136,0.987,"Cleveland Indians","Progressive Field",1388905,3022888.48275862
"240",240,"COL",1993,"NL",6,162,81,67,95,758,5517,1507,278,59,142,388,944,146,90,NA,NA,967,860,5.41,9,0,35,4293,1664,181,609,913,167,149,0.97,"Colorado Rockies","Mile High Stadium",4483350,319328.125
"241",241,"COL",1994,"NL",3,117,57,53,64,573,4006,1098,206,39,125,378,761,91,53,NA,NA,638,590,5.15,4,1,28,3093,1185,120,448,703,84,117,0.98,"Colorado Rockies","Mile High Stadium",3281511,720282.818181818
"242",242,"COL",1995,"NL",2,144,72,77,67,785,4994,1406,259,43,200,484,943,125,59,NA,NA,783,711,4.97,1,1,43,3864,1443,160,512,891,107,146,0.98,"Colorado Rockies","Coors Field",3390037,989579.911764706
"243",243,"COL",1996,"NL",3,162,81,83,79,961,5590,1607,297,37,221,527,1108,201,66,NA,NA,964,885,5.6,5,5,34,4266,1597,198,624,932,149,167,0.97,"Colorado Rockies","Coors Field",3891014,1152227.73333333
"244",244,"COL",1997,"NL",3,162,81,83,79,923,5603,1611,269,40,239,562,1060,137,65,NA,NA,908,835,5.25,9,5,38,4296,1697,196,566,870,111,202,0.98,"Colorado Rockies","Coors Field",3888453,1496816.10344828
"245",245,"COL",1998,"NL",4,162,81,77,85,826,5632,1640,333,36,183,469,949,67,47,NA,NA,855,796,5,9,5,36,4297,1583,174,562,951,102,193,0.98,"Colorado Rockies","Coors Field",3792683,1783558.85714286
"246",246,"COL",1999,"NL",5,162,81,72,90,906,5716,1644,305,39,223,508,863,70,43,NA,NA,1028,955,6.02,12,2,33,4285,1700,237,737,1032,118,186,0.98,"Colorado Rockies","Coors Field",3481065,1835026.15625
"247",247,"COL",2000,"NL",4,162,81,82,80,968,5660,1664,320,53,161,601,907,131,61,42,75,897,835,5.26,7,2,33,4290,1568,221,588,1001,94,176,0.985,"Colorado Rockies","Coors Field",3295129,2252266.2962963
"248",248,"COL",2001,"NL",5,162,81,73,89,923,5690,1663,324,61,213,511,1027,132,54,61,50,906,841,5.29,8,8,26,4290,1522,239,598,1058,96,167,0.984,"Colorado Rockies","Coors Field",3166821,2836653.36
"249",249,"COL",2002,"NL",4,162,81,73,89,778,5512,1508,283,41,152,497,1043,103,53,56,50,898,825,5.2,1,8,43,4280,1554,225,582,920,112,158,0.982,"Colorado Rockies","Coors Field",2737838,2208041.72
"250",250,"COL",2003,"NL",4,162,81,74,88,853,5518,1472,330,31,198,619,1134,63,37,52,38,892,821,5.2,3,4,34,4260,1629,200,552,866,116,165,0.981,"Colorado Rockies","Coors Field",2334085,2239322.23333333
"251",251,"COL",2004,"NL",4,162,81,68,94,833,5577,1531,331,34,202,568,1181,44,33,54,37,923,883,5.54,3,2,36,4306,1634,198,697,947,89,161,0.986,"Colorado Rockies","Coors Field",2338069,2090561.74074074
"252",252,"COL",2005,"NL",5,162,81,67,95,740,5542,1477,280,34,150,509,1103,65,32,64,34,862,808,5.13,4,4,37,4256,1600,175,604,981,118,158,0.981,"Colorado Rockies","Coors Field",1914389,1649620.68965517
"253",253,"COL",2006,"NL",4,162,81,76,86,813,5562,1504,325,54,157,561,1108,85,50,60,45,812,749,4.66,5,8,34,4342,1549,155,553,952,91,190,0.985,"Colorado Rockies","Coors Field",2104362,1387310.34482759
"254",254,"COL",2007,"NL",2,163,82,90,73,860,5691,1591,313,36,171,622,1152,100,31,58,44,758,706,4.32,4,7,39,4416,1497,164,504,967,68,180,0.989,"Colorado Rockies","Coors Field",2376250,2141640
"255",255,"COL",2008,"NL",3,162,81,74,88,747,5557,1462,310,28,160,570,1209,141,37,57,38,822,766,4.77,3,8,36,4338,1547,148,562,1041,96,176,0.985,"Colorado Rockies","Coors Field",2650218,2640596.15384615
"256",256,"COL",2009,"NL",2,162,81,92,70,804,5398,1408,300,50,190,660,1277,106,55,47,60,715,675,4.22,5,7,45,4315,1427,141,528,1154,87,146,0.986,"Colorado Rockies","Coors Field",2665080,2916458.33333333
"257",257,"COL",2010,"NL",3,162,81,83,79,770,5530,1452,270,54,173,585,1274,99,41,47,47,717,663,4.14,6,12,35,4326,1405,139,525,1234,101,182,0.984,"Colorado Rockies","Coors Field",2875245,2993714.28571429
"258",258,"COL",2011,"NL",4,162,81,73,89,735,5544,1429,274,40,163,555,1201,118,42,57,44,774,713,4.43,5,7,41,4343,1471,176,522,1118,98,156,0.984,"Colorado Rockies","Coors Field",2909777,3390310.42307692
"259",259,"COL",2012,"NL",5,162,81,64,98,758,5577,1526,306,52,166,450,1213,100,40,36,39,890,824,5.22,0,7,36,4266,1637,198,566,1144,122,139,0.98,"Colorado Rockies","Coors Field",2630458,2771056.10714286
"260",260,"COL",2013,"NL",5,162,81,74,88,706,5599,1511,283,36,159,427,1204,112,32,26,35,760,708,4.44,1,5,35,4308,1545,136,517,1064,90,162,0.986,"Colorado Rockies","Coors Field",2793828,2967044.625
"261",261,"COL",2014,"NL",4,162,81,66,96,755,5612,1551,307,41,186,397,1281,85,48,48,48,818,770,4.84,1,4,24,4293,1528,173,531,1074,106,166,0.983,"Colorado Rockies","Coors Field",2680329,2910465.51724138
"262",262,"COL",2015,"NL",5,162,81,68,94,737,5572,1479,274,49,186,388,1283,97,43,33,34,844,799,5.04,4,4,36,4279,1579,183,579,1112,95,171,0.985,"Colorado Rockies","Coors Field",2506789,3466191.66666667
"263",263,"DET",1986,"AL",3,162,81,87,75,798,5512,1447,234,30,198,613,885,138,58,NA,NA,714,645,4.02,33,12,38,4329,1374,183,571,880,108,163,0.98,"Detroit Tigers","Tiger Stadium",1899437,480028.56
"264",264,"DET",1987,"AL",1,162,81,98,64,896,5649,1535,274,32,225,653,913,106,50,NA,NA,735,650,4.02,33,10,31,4368,1430,180,563,976,122,147,0.98,"Detroit Tigers","Tiger Stadium",2061830,527081.782608696
"265",265,"DET",1988,"AL",2,162,81,88,74,703,5433,1358,213,28,143,588,841,87,42,NA,NA,658,596,3.71,34,8,36,4335,1361,150,497,890,109,129,0.98,"Detroit Tigers","Tiger Stadium",2081162,559546.565217391
"266",266,"DET",1989,"AL",7,162,81,59,103,617,5432,1315,198,24,116,585,899,103,50,NA,NA,816,718,4.53,24,4,26,4281,1514,150,652,831,130,153,0.97,"Detroit Tigers","Tiger Stadium",1543656,582554
"267",267,"DET",1990,"AL",3,162,81,79,83,750,5479,1418,241,32,172,634,952,82,57,NA,NA,754,698,4.39,15,12,45,4290,1401,154,661,856,131,178,0.97,"Detroit Tigers","Tiger Stadium",1495785,561072.193548387
"268",268,"DET",1991,"AL",2,162,81,84,78,817,5547,1372,259,26,209,699,1185,109,47,NA,NA,794,727,4.51,18,8,38,4350,1570,148,593,739,104,171,0.98,"Detroit Tigers","Tiger Stadium",1641661,953533.32
"269",269,"DET",1992,"AL",6,162,80,75,87,791,5515,1411,256,16,182,675,1055,66,45,NA,NA,794,733,4.6,10,4,36,4305,1534,155,564,693,116,164,0.98,"Detroit Tigers","Tiger Stadium",1423963,1040493.61538462
"270",270,"DET",1993,"AL",3,162,81,85,77,899,5620,1546,282,38,178,765,1122,104,63,NA,NA,837,742,4.65,11,7,36,4308,1547,188,542,828,132,148,0.97,"Detroit Tigers","Tiger Stadium",1971421,1268038.83333333
"271",271,"DET",1994,"AL",5,115,58,53,62,652,3955,1048,216,25,161,520,897,46,33,NA,NA,671,609,5.38,15,1,20,3054,1139,148,449,560,82,90,0.98,"Detroit Tigers","Tiger Stadium",1184783,1361550.03333333
"272",272,"DET",1995,"AL",4,144,72,60,84,654,4865,1204,228,29,159,551,987,73,36,NA,NA,844,778,5.49,5,3,38,3825,1509,170,536,729,106,143,0.98,"Detroit Tigers","Tiger Stadium",1180979,1122550.54545455
"273",273,"DET",1996,"AL",5,162,81,53,109,783,5530,1413,257,21,204,546,1268,87,50,NA,NA,1103,1015,6.38,10,4,22,4296,1699,241,784,957,135,157,0.97,"Detroit Tigers","Tiger Stadium",1168610,732437.5
"274",274,"DET",1997,"AL",3,162,81,79,83,784,5481,1415,268,32,176,578,1164,161,72,NA,NA,790,732,4.56,13,8,42,4335,1476,178,552,982,91,146,0.98,"Detroit Tigers","Tiger Stadium",1365157,595586.206896552
"275",275,"DET",1998,"AL",5,162,81,65,97,722,5664,1494,306,29,165,455,1070,122,62,NA,NA,863,792,4.93,9,4,32,4338,1551,185,595,947,115,164,0.98,"Detroit Tigers","Tiger Stadium",1409391,687571.428571429
"276",276,"DET",1999,"AL",3,161,81,69,92,747,5481,1433,289,34,212,458,1049,108,70,NA,NA,882,817,5.18,4,6,33,4261,1528,209,583,976,106,155,0.98,"Detroit Tigers","Tiger Stadium",2026441,1125302.0625
"277",277,"DET",2000,"AL",3,162,81,79,83,823,5644,1553,307,41,177,562,982,83,38,43,49,827,755,4.71,6,6,44,4330,1583,177,496,978,105,171,0.983,"Detroit Tigers","Comerica Park",2438617,2231737.19230769
"278",278,"DET",2001,"AL",4,162,81,66,96,724,5537,1439,291,60,139,466,972,133,61,51,49,876,795,5.01,16,2,34,4288,1624,180,553,859,131,164,0.979,"Detroit Tigers","Comerica Park",1921305,2031967.96153846
"279",279,"DET",2002,"AL",5,161,80,55,106,575,5406,1340,265,37,124,363,1035,65,44,64,57,864,773,4.92,11,7,33,4242,1593,163,463,794,142,148,0.977,"Detroit Tigers","Comerica Park",1503623,2030759.25925926
"280",280,"DET",2003,"AL",5,162,81,43,119,591,5466,1312,201,39,153,443,1099,98,63,47,49,928,847,5.3,3,5,27,4316,1616,195,557,764,138,194,0.978,"Detroit Tigers","Comerica Park",1368245,1891076.92307692
"281",281,"DET",2004,"AL",4,162,81,72,90,827,5623,1531,284,54,201,518,1144,86,50,50,43,844,788,4.93,7,9,35,4319,1542,190,530,995,144,160,0.977,"Detroit Tigers","Comerica Park",1917004,1777038.46153846
"282",282,"DET",2005,"AL",4,162,81,71,91,723,5602,1521,283,45,168,384,1038,66,28,53,52,787,719,4.51,7,2,37,4307,1504,193,461,907,110,171,0.982,"Detroit Tigers","Comerica Park",2024431,2528942.30769231
"283",283,"DET",2006,"AL",2,162,81,95,67,822,5642,1548,294,40,203,430,1133,60,40,45,36,675,618,3.84,3,16,46,4344,1420,160,489,1003,106,162,0.983,"Detroit Tigers","Comerica Park",2595937,2933956.38461538
"284",284,"DET",2007,"AL",2,162,81,88,74,887,5757,1652,352,50,177,474,1054,103,30,56,45,797,735,4.57,1,9,44,4342,1498,174,566,1047,99,148,0.984,"Detroit Tigers","Comerica Park",3047133,3580206.5
"285",285,"DET",2008,"AL",5,162,81,74,88,821,5641,1529,293,41,200,572,1076,63,31,44,44,857,786,4.9,1,2,34,4335,1541,172,644,991,113,172,0.981,"Detroit Tigers","Comerica Park",3202645,4869417.71428571
"286",286,"DET",2009,"AL",2,163,81,86,77,743,5540,1443,245,35,183,540,1114,72,33,61,39,745,690,4.29,4,9,42,4341,1449,182,594,1102,88,164,0.985,"Detroit Tigers","Comerica Park",2567165,4110183.75
"287",287,"DET",2010,"AL",3,162,81,81,81,751,5643,1515,308,32,152,546,1147,69,30,41,41,743,690,4.3,6,5,32,4333,1445,142,537,1056,109,171,0.982,"Detroit Tigers","Comerica Park",2461237,4777597.12
"288",288,"DET",2011,"AL",1,162,81,95,67,787,5563,1540,297,34,169,521,1143,49,20,39,58,711,647,4.04,4,14,52,4320,1406,149,492,1115,103,148,0.983,"Detroit Tigers","Comerica Park",2642045,4011547.34615385
"289",289,"DET",2012,"AL",1,162,81,88,74,726,5476,1467,279,39,163,511,1103,59,23,57,39,670,596,3.75,9,8,40,4292,1409,151,438,1318,99,127,0.983,"Detroit Tigers","Comerica Park",3028033,4260714.28571429
"290",290,"DET",2013,"AL",1,162,81,93,69,796,5735,1625,292,23,176,531,1073,35,20,43,47,624,587,3.61,3,12,39,4388,1369,128,462,1428,76,136,0.987,"Detroit Tigers","Comerica Park",3083397,6082895.83333333
"291",291,"DET",2014,"AL",1,162,81,90,72,757,5630,1557,325,26,155,443,1144,106,41,44,61,705,648,4.01,5,8,41,4362,1475,127,462,1244,101,153,0.983,"Detroit Tigers","Comerica Park",2917209,6645891.30434783
"292",292,"DET",2015,"AL",5,161,81,74,87,689,5605,1515,289,49,151,455,1259,83,51,41,35,803,746,4.64,7,12,35,4341,1491,193,489,1100,86,165,0.986,"Detroit Tigers","Comerica Park",2726048,6891390
"293",293,"FLO",1993,"NL",6,162,81,64,98,581,5475,1356,197,31,94,498,1054,117,56,NA,NA,724,661,4.13,4,5,48,4320,1437,135,598,945,122,130,0.98,"Florida Marlins","Joe Robbie Stadium",3064847,581955.909090909
"294",294,"FLO",1994,"NL",5,115,59,51,64,468,3926,1043,180,24,94,349,746,65,26,NA,NA,576,508,4.5,5,3,30,3045,1069,120,428,649,95,111,0.97,"Florida Marlins","Joe Robbie Stadium",1937467,584675.675675676
"295",295,"FLO",1995,"NL",4,143,71,67,76,673,4886,1278,214,29,144,517,916,131,53,NA,NA,673,610,4.27,12,7,29,3858,1299,139,562,994,115,143,0.97,"Florida Marlins","Joe Robbie Stadium",1700466,674049.472222222
"296",296,"FLO",1996,"NL",3,162,81,80,82,688,5498,1413,240,30,150,553,1122,99,46,NA,NA,703,633,3.95,8,13,41,4329,1386,113,598,1050,111,187,0.98,"Florida Marlins","Joe Robbie Stadium",1746767,969453.125
"297",297,"FLO",1997,"NL",2,162,81,92,70,740,5439,1410,272,28,136,686,1074,115,58,NA,NA,669,615,3.83,12,10,39,4338,1353,131,639,1188,119,167,0.98,"Florida Marlins","Joe Robbie Stadium",2364387,1723839.28571429
"298",298,"FLO",1998,"NL",5,162,81,54,108,667,5558,1381,277,36,114,525,1120,115,57,NA,NA,923,837,5.2,11,3,24,4348,1617,182,715,1016,129,177,0.97,"Florida Marlins","Joe Robbie Stadium",1730384,918450.459459459
"299",299,"FLO",1999,"NL",5,162,80,64,98,691,5578,1465,266,44,128,479,1145,92,46,NA,NA,852,781,4.9,6,5,33,4306,1560,171,655,943,127,150,0.97,"Florida Marlins","Pro Player Stadium",1369421,596657.142857143
"300",300,"FLO",2000,"NL",3,161,81,79,82,731,5509,1441,274,29,160,540,1184,168,55,60,51,797,729,4.59,5,4,48,4289,1477,169,650,1051,125,144,0.98,"Florida Marlins","Pro Player Stadium",1218326,767760
"301",301,"FLO",2001,"NL",4,162,80,76,86,742,5542,1461,325,30,166,470,1145,89,40,67,45,744,691,4.32,5,11,32,4314,1397,151,617,1119,103,174,0.983,"Florida Marlins","Pro Player Stadium",1261226,1012875
"302",302,"FLO",2002,"NL",4,162,81,79,83,699,5496,1433,280,32,146,595,1130,177,73,61,49,763,706,4.36,11,12,36,4369,1449,151,631,1104,106,163,0.983,"Florida Marlins","Pro Player Stadium",813118,1547330.25925926
"303",303,"FLO",2003,"NL",2,162,81,91,71,751,5490,1459,292,44,157,515,978,150,74,57,41,692,648,4.04,7,11,36,4336,1415,128,530,1132,78,162,0.987,"Florida Marlins","Pro Player Stadium",1303215,1694827.5862069
"304",304,"FLO",2004,"NL",3,162,80,83,79,718,5486,1447,275,32,148,499,968,96,43,58,40,700,655,4.1,6,14,53,4317,1395,166,513,1116,86,153,0.986,"Florida Marlins","Pro Player Stadium",1723105,1609155.46153846
"305",305,"FLO",2005,"NL",3,162,81,83,79,717,5502,1499,306,32,128,512,918,96,38,67,50,732,666,4.16,14,15,42,4327,1459,116,563,1125,103,177,0.983,"Florida Marlins","Dolphin Stadium",1852608,2309955.15384615
"306",306,"FLO",2006,"NL",4,162,81,78,84,758,5502,1454,309,42,182,497,1249,110,58,74,42,772,696,4.37,6,6,41,4300,1465,166,622,1088,126,166,0.979,"Florida Marlins","Dolphin Stadium",1164134,586860
"307",307,"FLO",2007,"NL",5,162,81,71,91,790,5627,1504,340,38,201,521,1332,105,34,82,42,891,793,4.94,0,4,40,4331,1617,176,661,1142,137,159,0.977,"Florida Marlins","Dolphin Stadium",1370511,1004233.33333333
"308",308,"FLO",2008,"NL",3,161,81,84,77,770,5499,1397,302,28,208,543,1371,76,28,69,46,767,707,4.43,2,8,36,4306,1421,161,586,1127,117,122,0.98,"Florida Marlins","Dolphin Stadium",1335076,670396.551724138
"309",309,"FLO",2009,"NL",2,162,81,87,75,772,5572,1493,296,25,159,568,1226,75,35,63,39,766,690,4.29,5,5,45,4339,1425,160,601,1248,106,129,0.982,"Florida Marlins","Dolphin Stadium",1464109,1336444.44444444
"310",310,"FLO",2010,"NL",3,162,81,80,82,719,5531,1403,294,37,152,514,1375,92,26,55,43,717,652,4.08,5,17,39,4315,1433,134,549,1168,123,130,0.979,"Florida Marlins","Dolphin Stadium",1535226,2112211.81481481
"311",311,"FLO",2011,"NL",5,162,78,72,90,625,5508,1358,274,30,149,542,1244,95,41,51,42,702,640,3.95,7,11,40,4379,1403,149,500,1218,93,126,0.985,"Florida Marlins","Sun Life Stadium",1477462,2190153.84615385
"312",312,"HOU",1986,"NL",1,162,81,96,66,654,5441,1388,244,32,125,536,916,163,75,NA,NA,569,510,3.15,18,19,51,4368,1203,116,523,1160,130,108,0.97,"Houston Astros","Astrodome",1734276,431285.272727273
"313",313,"HOU",1987,"NL",3,162,81,76,86,648,5485,1386,238,28,122,526,936,162,46,NA,NA,678,615,3.84,13,13,33,4323,1363,141,525,1137,115,113,0.98,"Houston Astros","Astrodome",1909902,441050.777777778
"314",314,"HOU",1988,"NL",5,162,81,82,80,617,5494,1338,239,31,96,474,840,198,71,NA,NA,631,558,3.41,21,15,40,4422,1339,123,478,1049,138,124,0.97,"Houston Astros","Astrodome",1933505,524159.434782609
"315",315,"HOU",1989,"NL",3,162,82,86,76,647,5516,1316,239,28,97,530,860,144,62,NA,NA,669,598,3.64,19,12,38,4437,1379,105,551,965,140,121,0.97,"Houston Astros","Astrodome",1834908,574500
"316",316,"HOU",1990,"NL",4,162,81,75,87,573,5379,1301,209,32,94,548,997,179,83,NA,NA,656,582,3.61,12,6,37,4350,1396,130,496,854,131,124,0.97,"Houston Astros","Astrodome",1310927,625172.413793103
"317",317,"HOU",1991,"NL",6,162,81,65,97,605,5504,1345,240,43,79,502,1027,125,68,NA,NA,717,646,4,7,13,36,4359,1347,129,651,1033,161,129,0.97,"Houston Astros","Astrodome",1196152,514100
"318",318,"HOU",1992,"NL",4,162,81,81,81,608,5480,1350,255,38,96,506,1025,139,54,NA,NA,668,603,3.72,5,12,45,4377,1386,114,539,978,112,125,0.98,"Houston Astros","Astrodome",1211412,524224.137931034
"319",319,"HOU",1993,"NL",3,162,81,85,77,716,5464,1459,288,37,138,497,911,103,60,NA,NA,630,559,3.49,18,14,42,4323,1363,117,476,1056,125,141,0.97,"Houston Astros","Astrodome",2084618,1041741.37931034
"320",320,"HOU",1994,"NL",2,115,59,66,49,602,3955,1099,252,25,120,394,718,124,44,NA,NA,503,454,3.97,9,3,29,3087,1043,102,367,739,72,110,0.98,"Houston Astros","Astrodome",1561136,1031437.5
"321",321,"HOU",1995,"NL",2,144,72,76,68,747,5097,1403,260,22,109,566,992,176,60,NA,NA,674,595,4.06,6,8,32,3960,1357,118,460,1056,121,120,0.97,"Houston Astros","Astrodome",1363801,951073.529411765
"322",322,"HOU",1996,"NL",2,162,81,82,80,753,5508,1445,297,29,129,554,1057,180,63,NA,NA,792,704,4.38,13,4,35,4341,1541,154,539,1163,138,130,0.97,"Houston Astros","Astrodome",1975888,945933.333333333
"323",323,"HOU",1997,"NL",1,162,81,84,78,777,5502,1427,314,40,133,633,1085,171,74,NA,NA,660,595,3.67,16,12,37,4377,1379,134,511,1138,131,169,0.97,"Houston Astros","Astrodome",2046781,1185258.62068966
"324",324,"HOU",1998,"NL",1,162,81,102,60,874,5641,1578,326,28,166,621,1122,155,51,NA,NA,620,572,3.5,12,11,44,4413,1435,147,465,1187,108,144,0.98,"Houston Astros","Astrodome",2458451,1437068.96551724
"325",325,"HOU",1999,"NL",1,162,82,97,65,823,5485,1463,293,23,168,728,1138,166,75,NA,NA,675,622,3.84,12,8,48,4375,1485,128,478,1204,106,168,0.98,"Houston Astros","Astrodome",2706017,1610129.03225806
"326",326,"HOU",2000,"NL",4,162,81,72,90,938,5570,1547,289,36,249,673,1129,114,52,83,61,944,865,5.42,8,2,30,4313,1596,234,598,1064,133,149,0.978,"Houston Astros","Enron Field",3056139,1899596.7037037
"327",327,"HOU",2001,"NL",1,162,81,93,69,847,5528,1500,313,29,208,581,1119,64,49,89,56,769,707,4.37,7,6,48,4364,1453,221,486,1228,110,138,0.982,"Houston Astros","Enron Field",2904277,2159728.40740741
"328",328,"HOU",2002,"NL",2,162,81,84,78,749,5503,1441,291,32,167,589,1120,71,27,59,37,695,642,4,2,11,43,4335,1423,151,546,1219,83,149,0.986,"Houston Astros","Minute Maid Park",2517357,2411477.57692308
