year,sex,educ,attend,reltrad,income,race,partyid,abany,abnomore,abrape,abdefect,homosex,owngun,gunlaw
1972,2,14,6,4,NA,2,1,NA,1,1,1,NA,NA,1
1972,1,16,3,7,NA,1,3,NA,1,1,1,NA,NA,1
1972,2,12,2,2,NA,1,0,NA,1,1,1,NA,NA,1
1972,2,13,8,6,NA,1,7,NA,2,2,2,NA,NA,1
1972,1,14,0,2,NA,1,5,NA,1,1,1,NA,NA,2
1972,2,16,5,2,NA,1,1,NA,1,1,1,NA,NA,1
1972,1,14,2,2,NA,1,6,NA,1,1,1,NA,NA,2
1972,1,15,3,2,NA,1,5,NA,1,1,1,NA,NA,2
1972,2,16,5,2,NA,1,6,NA,1,1,1,NA,NA,1
1972,1,15,2,2,NA,1,2,NA,1,1,1,NA,NA,1
1972,2,12,7,1,NA,1,2,NA,1,1,1,NA,NA,2
1972,1,9,3,1,NA,1,5,NA,1,1,1,NA,NA,1
1972,1,13,2,2,NA,1,1,NA,2,2,1,NA,NA,2
1972,2,12,1,2,NA,1,2,NA,1,1,1,NA,NA,2
1972,1,15,4,2,NA,1,0,NA,2,2,2,NA,NA,1
1972,1,12,1,2,NA,1,1,NA,1,1,1,NA,NA,2
1972,2,8,0,7,NA,1,1,NA,1,1,2,NA,NA,1
1972,2,12,5,6,NA,1,6,NA,2,1,1,NA,NA,1
1972,2,13,7,6,NA,1,2,NA,1,1,1,NA,NA,1
1972,2,16,7,6,NA,1,1,NA,1,1,1,NA,NA,1
1972,1,13,1,1,NA,1,0,NA,2,2,2,NA,NA,1
1972,1,3,1,1,NA,2,NA,NA,2,1,1,NA,NA,1
1972,1,12,3,3,NA,2,0,NA,2,1,2,NA,NA,1
1972,2,10,1,1,NA,1,1,NA,2,1,1,NA,NA,1
1972,1,14,1,4,NA,1,0,NA,1,1,1,NA,NA,1
1972,1,12,2,4,NA,1,0,NA,1,1,1,NA,NA,1
1972,2,14,0,5,NA,1,2,NA,1,1,1,NA,NA,1
1972,1,8,1,3,NA,2,1,NA,2,2,2,NA,NA,1
1972,2,11,7,3,NA,2,3,NA,1,1,1,NA,NA,1
1972,2,2,7,3,NA,2,6,NA,2,2,2,NA,NA,1
1972,2,12,1,3,NA,2,1,NA,1,1,1,NA,NA,2
1972,2,12,1,3,NA,2,4,NA,1,1,2,NA,NA,1
1972,1,6,8,3,NA,2,0,NA,2,2,2,NA,NA,1
1972,1,3,4,3,NA,2,0,NA,2,2,2,NA,NA,1
1972,1,8,7,3,NA,2,0,NA,NA,2,1,NA,NA,2
1972,2,8,5,4,NA,1,0,NA,2,1,1,NA,NA,1
1972,2,12,0,7,NA,1,0,NA,1,1,1,NA,NA,1
1972,2,16,3,7,NA,1,5,NA,1,1,1,NA,NA,NA
1972,2,12,7,4,NA,1,2,NA,2,1,1,NA,NA,1
1972,2,9,7,4,NA,1,1,NA,2,1,2,NA,NA,2
1972,1,12,1,2,NA,1,0,NA,1,1,1,NA,NA,1
1972,1,6,5,4,NA,1,2,NA,1,1,1,NA,NA,2
1972,1,12,7,4,NA,1,2,NA,1,1,1,NA,NA,1
1972,1,15,6,4,NA,1,4,NA,2,2,2,NA,NA,1
1972,2,8,5,2,NA,1,1,NA,2,2,2,NA,NA,2
1972,2,11,2,1,NA,1,1,NA,1,1,1,NA,NA,1
1972,1,4,1,1,NA,1,1,NA,2,NA,1,NA,NA,2
1972,2,13,3,1,NA,1,1,NA,2,1,1,NA,NA,1
1972,1,8,1,1,NA,1,7,NA,2,1,1,NA,NA,2
1972,2,11,7,4,NA,1,5,NA,2,1,NA,NA,NA,1
1972,1,12,1,2,NA,1,5,NA,2,1,1,NA,NA,2
1972,1,12,1,2,NA,1,5,NA,1,1,1,NA,NA,2
1972,2,12,1,1,NA,1,1,NA,2,1,1,NA,NA,1
1972,1,14,2,5,NA,1,3,NA,1,1,1,NA,NA,2
1972,2,10,3,2,NA,1,6,NA,2,2,1,NA,NA,2
1972,2,5,7,1,NA,1,1,NA,2,2,2,NA,NA,NA
1972,2,16,6,1,NA,1,1,NA,2,1,1,NA,NA,1
1972,1,12,6,1,NA,1,2,NA,2,1,1,NA,NA,2
1972,1,2,1,1,NA,1,1,NA,2,2,2,NA,NA,2
1972,1,10,2,2,NA,1,1,NA,1,1,1,NA,NA,1
1972,2,12,7,2,NA,1,5,NA,NA,1,1,NA,NA,1
1972,1,12,NA,7,NA,1,3,NA,1,1,1,NA,NA,1
1972,1,12,7,4,NA,1,2,NA,1,1,1,NA,NA,2
1972,2,10,7,4,NA,1,6,NA,1,1,1,NA,NA,1
1972,2,11,7,4,NA,1,0,NA,2,2,1,NA,NA,1
1972,2,12,3,2,NA,1,2,NA,2,1,1,NA,NA,1
1972,2,12,2,1,NA,1,1,NA,1,1,1,NA,NA,1
1972,2,11,6,2,NA,1,0,NA,1,1,1,NA,NA,1
1972,2,12,0,2,NA,1,3,NA,1,1,1,NA,NA,1
1972,1,12,3,4,NA,1,2,NA,2,1,2,NA,NA,1
1972,2,9,0,NA,NA,1,2,NA,1,1,1,NA,NA,1
1972,1,12,3,2,NA,1,4,NA,2,2,1,NA,NA,2
1972,1,9,3,1,NA,1,4,NA,2,1,1,NA,NA,1
1972,1,8,1,1,NA,1,3,NA,2,2,1,NA,NA,2
1972,1,10,0,2,NA,1,0,NA,2,2,1,NA,NA,2
1972,1,18,0,7,NA,1,2,NA,1,1,1,NA,NA,2
