"","score"
"21118",23.14
"21119",31
"21120",22.41
"21121",31
"21122",24.71
"21123",20.42
"21124",31
"21125",22.64
"21126",21.86
"21127",21.86
"21128",21.89
"21129",21.89
"21130",19.83
"21131",19.83
"21132",22.34
"21133",22.34
"21134",30
"21135",30
"21136",21.68
"21137",21.68
"21138",21.96
"21139",21.96
"21140",30
"21141",21.8
"21142",21.8
"21143",30
"21144",24
"21145",24
"21146",19.11
"21147",19.11
"21148",30
"21149",22.12
"21150",22.12
"21151",22.12
"21152",22.12
"21153",22.12
"21154",22.12
"21155",20.05
"21156",20.05
"21157",22.64
"21158",22.64
"21159",29
"21160",29
"21161",20.99
"21162",20.99
"21163",23.53
"21164",23.53
"21165",29
"21166",22.07
"21167",22.07
"21168",29
"21169",25.43
"21170",25.43
"21171",20
"21172",20
"21173",29
"21174",22.26
"21175",22.26
"21176",22.91
"21177",22.91
"21178",22.87
"21179",22.87
"21180",21.43
"21181",21.43
"21182",23.21
"21183",23.21
"21184",35
"21185",35
"21186",22.44
"21187",22.44
"21188",23.34
"21189",23.34
"21190",35
"21191",22.83
"21192",22.83
"21193",35
"21194",23.43
"21195",23.43
"21196",21.05
"21197",21.05
"21198",35
"21199",23.09
"21200",23.09
"21201",22.44
"21202",22.44
"21203",22.39
"21204",22.39
"21205",21.17
"21206",21.17
"21207",22.72
"21208",22.72
"21209",30.5
"21210",30.5
"21211",21.71
"21212",21.71
"21213",23.29
"21214",23.29
"21215",30.5
"21216",22.38
"21217",22.38
"21218",30.5
"21219",25.43
"21220",25.43
"21221",21.11
"21222",21.11
"21223",30.5
"21224",22.5
"21225",22.5
"21226",7.34
"21227",7.33
"21228",7.5
"21229",7.03
"21230",7.42
"21231",7.5
"21232",7.33
"21233",7.5
"21234",7.51
"21235",7.05
"21236",7.5
"21237",7.33
"21238",7.5
"21239",6.64
"21240",7.5
"21241",7.4
"21242",23.27
"21243",21
"21244",20.78
"21245",23.78
"21246",21
"21247",23.31
"21248",21
"21249",22.79
"21250",24.3
"21251",21
"21252",23.31
"21253",21
"21254",21
"21255",23.67
"21256",22.89
"21257",25
"21258",20.6
"21259",23.2
"21260",25
"21261",25
"21262",22.12
"21263",23.83
"21264",25
"21265",22.88
"21266",25
"21267",20.17
"21268",25
"21269",23.11
"21270",22.45
"21271",22.45
"21272",23
"21273",19.13
"21274",19.13
"21275",22.91
"21276",22.91
"21277",23
"21278",23
"21279",22.13
"21280",22.13
"21281",22.83
"21282",22.83
"21283",23
"21284",22.44
"21285",22.44
"21286",23
"21287",20.67
"21288",20.67
"21289",23
"21290",22.61
"21291",22.61
"21292",22.46
"21293",22.46
"21294",28
"21295",20.8
"21296",20.8
"21297",22.64
"21298",22.64
"21299",28
"21300",28
"21301",21.25
"21302",21.25
"21303",23.87
"21304",23.87
"21305",28
"21306",22.41
"21307",22.41
"21308",28
"21309",20.83
"21310",20.83
"21311",28
"21312",22.58
"21313",22.58
"21314",23.1
"21315",23.1
"21316",24
"21317",20.73
"21318",20.73
"21319",23.42
"21320",23.42
"21321",24
"21322",24
"21323",22.6
"21324",22.6
"21325",23.7
"21326",23.7
"21327",24
"21328",23.09
"21329",23.09
"21330",24
"21331",18.83
"21332",18.83
"21333",24
"21334",23.48
"21335",23.48
"21336",23.01
"21337",23.01
"21338",24
"21339",21.47
"21340",21.47
"21341",23.21
"21342",23.21
"21343",24
"21344",24
"21345",21.87
"21346",21.87
"21347",24.43
"21348",24.43
"21349",24
"21350",23
"21351",23
"21352",24
"21353",20
"21354",20
"21355",24
"21356",23.23
"21357",23.23
"21358",7.27
"21359",6
"21360",6.89
"21361",7.37
"21362",6
"21363",7.29
"21364",6
"21365",7.39
"21366",7.1
"21367",6
"21368",7.29
"21369",6
"21370",6
"21371",7.41
"21372",23.27
"21373",21
"21374",20.78
"21375",23.78
"21376",21
"21377",23.31
"21378",21
"21379",22.79
"21380",24.3
"21381",21
"21382",23.31
"21383",21
"21384",21
"21385",23.67
"21386",22.89
"21387",25
"21388",20.6
"21389",23.2
"21390",25
"21391",25
"21392",22.12
"21393",23.83
"21394",25
"21395",22.88
"21396",25
"21397",20.17
"21398",25
"21399",23.11
"21400",22.45
"21401",22.45
"21402",23
"21403",19.13
"21404",19.13
"21405",22.91
"21406",22.91
"21407",23
"21408",23
"21409",22.13
"21410",22.13
"21411",22.83
"21412",22.83
"21413",23
"21414",22.44
"21415",22.44
"21416",23
"21417",20.67
"21418",20.67
"21419",23
"21420",22.61
"21421",22.61
"21422",22.46
"21423",22.46
"21424",28
"21425",20.8
"21426",20.8
"21427",22.64
"21428",22.64
"21429",28
"21430",28
"21431",21.25
"21432",21.25
"21433",23.87
"21434",23.87
"21435",28
"21436",22.41
"21437",22.41
"21438",28
"21439",20.83
"21440",20.83
"21441",28
"21442",22.58
"21443",22.58
"21444",23.1
"21445",23.1
"21446",24
"21447",20.73
"21448",20.73
"21449",23.42
"21450",23.42
"21451",24
"21452",24
"21453",22.6
"21454",22.6
"21455",23.7
"21456",23.7
"21457",24
"21458",23.09
"21459",23.09
"21460",24
"21461",18.83
"21462",18.83
"21463",24
"21464",23.48
"21465",23.48
"21466",23.01
"21467",23.01
"21468",24
"21469",21.47
"21470",21.47
"21471",23.21
"21472",23.21
"21473",24
"21474",24
"21475",21.87
"21476",21.87
"21477",24.43
"21478",24.43
"21479",24
"21480",23
"21481",23
"21482",24
"21483",20
"21484",20
"21485",24
"21486",23.23
"21487",23.23
"21488",7.27
"21489",6
"21490",6.89
"21491",7.37
"21492",6
"21493",7.29
"21494",6
"21495",7.39
"21496",7.1
"21497",6
"21498",7.29
"21499",6
"21500",6
"21501",7.41
"21502",23.3
"21503",21.13
"21504",23.6
"21505",23.13
"21506",23.47
"21507",23.3
"21508",20.88
"21509",22
"21510",23.92
"21511",23.61
"21512",20.08
"21513",23.78
"21514",21
"21515",22.06
"21516",23.82
"21517",21
"21518",21
"21519",23.23
"21520",24.01
"21521",21
"21522",23.62
"21523",21
"21524",22.47
"21525",21.5
"21526",21
"21527",24.06
"21528",23.33
"21529",23.33
"21530",19.08
"21531",19.08
"21532",23.54
"21533",23.54
"21534",19
"21535",21.77
"21536",21.77
"21537",23.55
"21538",23.55
"21539",19
"21540",19
"21541",23.34
"21542",23.34
"21543",23.35
"21544",23.35
"21545",19
"21546",23.35
"21547",23.35
"21548",19
"21549",21.24
"21550",21.24
"21551",20.86
"21552",20.86
"21553",19
"21554",23.94
"21555",23.94
"21556",23.05
"21557",23.05
"21558",18.54
"21559",18.54
"21560",23.28
"21561",23.28
"21562",15
"21563",20.94
"21564",20.94
"21565",23.35
"21566",23.35
"21567",15
"21568",15
"21569",22.08
"21570",22.08
"21571",24.07
"21572",24.07
"21573",15
"21574",23.07
"21575",23.07
"21576",15
"21577",23.18
"21578",23.18
"21579",21.79
"21580",21.79
"21581",15
"21582",23.29
"21583",23.29
"21584",23.74
"21585",23.74
"21586",22.08
"21587",22.08
"21588",23.81
"21589",23.81
"21590",26
"21591",22.94
"21592",22.94
"21593",23.83
"21594",23.83
"21595",26
"21596",26
"21597",23.57
"21598",23.57
"21599",23.89
"21600",23.89
"21601",26
"21602",23.73
"21603",23.73
"21604",26
"21605",22.24
"21606",22.24
"21607",21
"21608",21
"21609",26
"21610",24.29
"21611",24.29
"21612",23.85
"21613",23.85
"21614",20.08
"21615",20.08
"21616",24.02
"21617",24.02
"21618",23
"21619",22.09
"21620",22.09
"21621",24.08
"21622",24.08
"21623",23
"21624",23
"21625",23.44
"21626",23.44
"21627",24.26
"21628",24.26
"21629",23
"21630",23.85
"21631",23.85
"21632",23
"21633",22.85
"21634",22.85
"21635",22.14
"21636",22.14
"21637",23
"21638",24.23
"21639",24.23
"21640",7.61
"21641",7.46
"21642",7.63
"21643",7.65
"21644",7.56
"21645",7.61
"21646",7.56
"21647",6.78
"21648",7.69
"21649",23.3
"21650",21.13
"21651",23.6
"21652",23.13
"21653",23.47
"21654",23.3
"21655",20.88
"21656",22
"21657",23.92
"21658",23.61
"21659",20.08
"21660",23.78
"21661",21
"21662",22.06
"21663",23.82
"21664",21
"21665",21
"21666",23.23
"21667",24.01
"21668",21
"21669",23.62
"21670",21
"21671",22.47
"21672",21.5
"21673",21
"21674",24.06
"21675",23.33
"21676",23.33
"21677",19.08
"21678",19.08
"21679",23.54
"21680",23.54
"21681",19
"21682",21.77
"21683",21.77
"21684",23.55
"21685",23.55
"21686",19
"21687",19
"21688",23.34
"21689",23.34
"21690",23.35
"21691",23.35
"21692",19
"21693",23.35
"21694",23.35
"21695",19
"21696",21.24
"21697",21.24
"21698",20.86
"21699",20.86
"21700",19
"21701",23.94
"21702",23.94
"21703",23.05
"21704",23.05
"21705",18.54
"21706",18.54
"21707",23.28
"21708",23.28
"21709",15
"21710",20.94
"21711",20.94
"21712",23.35
"21713",23.35
"21714",15
"21715",15
"21716",22.08
"21717",22.08
"21718",24.07
"21719",24.07
"21720",15
"21721",23.07
"21722",23.07
"21723",15
"21724",23.18
"21725",23.18
"21726",21.79
"21727",21.79
"21728",15
"21729",23.29
"21730",23.29
"21731",23.74
"21732",23.74
"21733",22.08
"21734",22.08
"21735",23.81
"21736",23.81
"21737",26
"21738",22.94
"21739",22.94
"21740",23.83
"21741",23.83
"21742",26
"21743",26
"21744",23.57
"21745",23.57
"21746",23.89
"21747",23.89
"21748",26
"21749",23.73
"21750",23.73
"21751",26
"21752",22.24
"21753",22.24
"21754",21
"21755",21
"21756",26
"21757",24.29
"21758",24.29
"21759",23.85
"21760",23.85
"21761",20.08
"21762",20.08
"21763",24.02
"21764",24.02
"21765",23
"21766",22.09
"21767",22.09
"21768",24.08
"21769",24.08
"21770",23
"21771",23
"21772",23.44
"21773",23.44
"21774",24.26
"21775",24.26
"21776",23
"21777",23.85
"21778",23.85
"21779",23
"21780",22.85
"21781",22.85
"21782",22.14
"21783",22.14
"21784",23
"21785",24.23
"21786",24.23
"21787",7.61
"21788",7.46
"21789",7.63
"21790",7.65
"21791",7.56
"21792",7.61
"21793",7.56
"21794",6.78
"21795",7.69
"21796",19.39
"21797",19.39
"21798",18.71
"21799",19.82
"21800",19.39
"21801",20.17
"21802",19
"21803",19.39
"21804",19.39
"21805",20.5
"21806",20.5
"21807",18.92
"21808",21.87
"21809",20.5
"21810",18.93
"21811",22.07
"21812",20.5
"21813",19.96
"21814",19.96
"21815",19.96
"21816",19.96
"21817",18.62
"21818",18.62
"21819",21.13
"21820",21.13
"21821",19.96
"21822",19.96
"21823",19.14
"21824",19.14
"21825",20.79
"21826",20.79
"21827",19.96
"21828",19.96
"21829",19.68
"21830",19.68
"21831",19.68
"21832",19.68
"21833",18.38
"21834",18.38
"21835",20.8
"21836",20.8
"21837",19.68
"21838",19.68
"21839",17.79
"21840",17.79
"21841",21.57
"21842",21.57
"21843",19.68
"21844",19.68
"21845",21.39
"21846",21.39
"21847",21.39
"21848",21.39
"21849",19.46
"21850",19.46
"21851",23.07
"21852",23.07
"21853",21.39
"21854",21.39
"21855",19.5
"21856",19.5
"21857",23.29
"21858",23.29
"21859",21.39
"21860",21.39
"21861",20.57
"21862",20.57
"21863",20.57
"21864",20.57
"21865",18.69
"21866",22.2
"21867",22.2
"21868",20.57
"21869",20.57
"21870",19
"21871",19
"21872",22.14
"21873",22.14
"21874",20.57
"21875",20.57
"21876",6.44
"21877",6.44
"21878",6.57
"21879",6.36
"21880",6.44
"21881",6.83
"21882",6.25
"21883",6.44
"21884",6.44
"21885",19.39
"21886",19.39
"21887",18.71
"21888",19.82
"21889",19.39
"21890",20.17
"21891",19
"21892",19.39
"21893",19.39
"21894",20.5
"21895",20.5
"21896",18.92
"21897",21.87
"21898",20.5
"21899",18.93
"21900",22.07
"21901",20.5
"21902",19.96
"21903",19.96
"21904",19.96
"21905",19.96
"21906",18.62
"21907",18.62
"21908",21.13
"21909",21.13
"21910",19.96
"21911",19.96
"21912",19.14
"21913",19.14
"21914",20.79
"21915",20.79
"21916",19.96
"21917",19.96
"21918",19.68
"21919",19.68
"21920",19.68
"21921",19.68
"21922",18.38
"21923",18.38
"21924",20.8
"21925",20.8
"21926",19.68
"21927",19.68
"21928",17.79
"21929",17.79
"21930",21.57
"21931",21.57
"21932",19.68
"21933",19.68
"21934",21.39
"21935",21.39
"21936",21.39
"21937",21.39
"21938",19.46
"21939",19.46
"21940",23.07
"21941",23.07
"21942",21.39
"21943",21.39
"21944",19.5
"21945",19.5
"21946",23.29
"21947",23.29
"21948",21.39
"21949",21.39
"21950",20.57
"21951",20.57
"21952",20.57
"21953",20.57
"21954",18.69
"21955",22.2
"21956",22.2
"21957",20.57
"21958",20.57
"21959",19
"21960",19
"21961",22.14
"21962",22.14
"21963",20.57
"21964",20.57
"21965",6.44
"21966",6.44
"21967",6.57
"21968",6.36
"21969",6.44
"21970",6.83
"21971",6.25
"21972",6.44
"21973",6.44
"21974",22.66
"21975",22.48
"21976",25.5
"21977",25.5
"21978",22.48
"21979",25.5
"21980",21.86
"21981",22.95
"21982",25.5
"21983",22.48
"21984",25.5
"21985",25.5
"21986",22.51
"21987",22.48
"21988",24
"21989",22.56
"21990",22.48
"21991",24
"21992",21.38
"21993",23.3
"21994",24
"21995",22.48
"21996",24
"21997",22.46
"21998",21.66
"21999",21.66
"22000",21.57
"22001",21.57
"22002",26.5
"22003",21.67
"22004",21.67
"22005",21.57
"22006",21.57
"22007",26.5
"22008",20.79
"22009",20.79
"22010",22.14
"22011",22.14
"22012",26.5
"22013",21.57
"22014",21.57
"22015",26.5
"22016",21.53
"22017",21.53
"22018",22.8
"22019",22.8
"22020",22.82
"22021",22.82
"22022",22
"22023",22
"22024",22.86
"22025",22.86
"22026",22.82
"22027",22.82
"22028",22
"22029",22
"22030",21.24
"22031",21.24
"22032",23.98
"22033",23.98
"22034",22
"22035",22
"22036",22.82
"22037",22.82
"22038",22
"22039",22
"22040",22.84
"22041",22.84
"22042",22.12
"22043",22.12
"22044",22.06
"22045",22.06
"22046",25
"22047",22.18
"22048",22.18
"22049",22.06
"22050",22.06
"22051",25
"22052",20.69
"22053",20.69
"22054",23.07
"22055",23.07
"22056",25
"22057",22.06
"22058",22.06
"22059",25
"22060",22.02
"22061",22.02
"22062",23.03
"22063",23.03
"22064",23.02
"22065",23.02
"22066",23.5
"22067",23.5
"22068",23.06
"22069",23.06
"22070",23.02
"22071",23.02
"22072",23.5
"22073",23.5
"22074",21.9
"22075",21.9
"22076",23.84
"22077",23.84
"22078",23.5
"22079",23.5
"22080",23.02
"22081",23.02
"22082",23.5
"22083",23.5
"22084",22.97
"22085",22.97
"22086",7.46
"22087",7.42
"22088",8
"22089",8
"22090",7.42
"22091",8
"22092",7.64
"22093",7.26
"22094",8
"22095",7.42
"22096",8
"22097",8
"22098",22.66
"22099",22.48
"22100",25.5
"22101",25.5
"22102",22.48
"22103",25.5
"22104",21.86
"22105",22.95
"22106",25.5
"22107",22.48
"22108",25.5
"22109",25.5
"22110",22.51
"22111",22.48
"22112",24
"22113",22.56
"22114",22.48
"22115",24
"22116",21.38
"22117",23.3
"22118",24
"22119",22.48
"22120",24
"22121",22.46
"22122",21.66
"22123",21.66
"22124",21.57
"22125",21.57
"22126",26.5
"22127",21.67
"22128",21.67
"22129",21.57
"22130",21.57
"22131",26.5
"22132",20.79
"22133",20.79
"22134",22.14
"22135",22.14
"22136",26.5
"22137",21.57
"22138",21.57
"22139",26.5
"22140",21.53
"22141",21.53
"22142",22.8
"22143",22.8
"22144",22.82
"22145",22.82
"22146",22
"22147",22
"22148",22.86
"22149",22.86
"22150",22.82
"22151",22.82
"22152",22
"22153",22
"22154",21.24
"22155",21.24
"22156",23.98
"22157",23.98
"22158",22
"22159",22
"22160",22.82
"22161",22.82
"22162",22
"22163",22
"22164",22.84
"22165",22.84
"22166",22.12
"22167",22.12
"22168",22.06
"22169",22.06
"22170",25
"22171",22.18
"22172",22.18
"22173",22.06
"22174",22.06
"22175",25
"22176",20.69
"22177",20.69
"22178",23.07
"22179",23.07
"22180",25
"22181",22.06
"22182",22.06
"22183",25
"22184",22.02
"22185",22.02
"22186",23.03
"22187",23.03
"22188",23.02
"22189",23.02
"22190",23.5
"22191",23.5
"22192",23.06
"22193",23.06
"22194",23.02
"22195",23.02
"22196",23.5
"22197",23.5
"22198",21.9
"22199",21.9
"22200",23.84
"22201",23.84
"22202",23.5
"22203",23.5
"22204",23.02
"22205",23.02
"22206",23.5
"22207",23.5
"22208",22.97
"22209",22.97
"22210",7.46
"22211",7.42
"22212",8
"22213",8
"22214",7.42
"22215",8
"22216",7.64
"22217",7.26
"22218",8
"22219",7.42
"22220",8
"22221",8
"22222",23.34
"22223",23.34
"22224",23.34
"22225",24.55
"22226",20.67
"22227",23.34
"22228",22.38
"22229",19.29
"22230",22.76
"22231",22.38
"22232",22.44
"22233",22.29
"22234",22.38
"22235",22.34
"22236",22.34
"22237",19.14
"22238",19.14
"22239",22.72
"22240",22.72
"22241",22.34
"22242",22.34
"22243",23.22
"22244",23.22
"22245",20.83
"22246",20.83
"22247",22.34
"22248",22.34
"22249",21.83
"22250",21.83
"22251",20.57
"22252",20.57
"22253",21.98
"22254",21.98
"22255",21.83
"22256",21.83
"22257",20.98
"22258",20.98
"22259",23.29
"22260",23.29
"22261",21.83
"22262",21.83
"22263",22.29
"22264",22.29
"22265",19.57
"22266",19.57
"22267",22.62
"22268",22.62
"22269",22.29
"22270",22.29
"22271",22.73
"22272",22.73
"22273",21.54
"22274",21.54
"22275",22.29
"22276",22.29
"22277",22.49
"22278",22.49
"22279",18.14
"22280",18.14
"22281",23.02
"22282",23.02
"22283",22.49
"22284",22.49
"22285",22.02
"22286",22.02
"22287",23.29
"22288",23.29
"22289",22.49
"22290",22.49
"22291",7.24
"22292",7.24
"22293",7.24
"22294",7.8
"22295",6
"22296",7.24
"22297",23.34
"22298",23.34
"22299",23.34
"22300",24.55
"22301",20.67
"22302",23.34
"22303",22.38
"22304",19.29
"22305",22.76
"22306",22.38
"22307",22.44
"22308",22.29
"22309",22.38
"22310",22.34
"22311",22.34
"22312",19.14
"22313",19.14
"22314",22.72
"22315",22.72
"22316",22.34
"22317",22.34
"22318",23.22
"22319",23.22
"22320",20.83
"22321",20.83
"22322",22.34
"22323",22.34
"22324",21.83
"22325",21.83
"22326",20.57
"22327",20.57
"22328",21.98
"22329",21.98
"22330",21.83
"22331",21.83
"22332",20.98
"22333",20.98
"22334",23.29
"22335",23.29
"22336",21.83
"22337",21.83
"22338",22.29
"22339",22.29
"22340",19.57
"22341",19.57
"22342",22.62
"22343",22.62
"22344",22.29
"22345",22.29
"22346",22.73
"22347",22.73
"22348",21.54
"22349",21.54
"22350",22.29
"22351",22.29
"22352",22.49
"22353",22.49
"22354",18.14
"22355",18.14
"22356",23.02
"22357",23.02
"22358",22.49
"22359",22.49
"22360",22.02
"22361",22.02
"22362",23.29
"22363",23.29
"22364",22.49
"22365",22.49
"22366",7.24
"22367",7.24
"22368",7.24
"22369",7.8
"22370",6
"22371",7.24
"22372",23.87
"22373",20.33
"22374",21.71
"22375",24.07
"22376",20.33
"22377",20.33
"22378",24.37
"22379",23.42
"22380",22
"22381",23.95
"22382",20.33
"22383",20.17
"22384",22
"22385",24.16
"22386",23.72
"22387",19.11
"22388",23.92
"22389",21.25
"22390",20.88
"22391",24.07
"22392",21.25
"22393",21.25
"22394",23.24
"22395",24.26
"22396",22.67
"22397",23.76
"22398",21.25
"22399",21.08
"22400",22
"22401",21.29
"22402",24.05
"22403",23.25
"22404",23.25
"22405",19.22
"22406",19.22
"22407",23.46
"22408",23.46
"22409",19.25
"22410",19.25
"22411",19.92
"22412",19.92
"22413",23.69
"22414",23.69
"22415",19.25
"22416",19.25
"22417",19.25
"22418",19.25
"22419",23.34
"22420",23.34
"22421",23.23
"22422",23.23
"22423",20.67
"22424",20.67
"22425",23.32
"22426",23.32
"22427",19.25
"22428",19.25
"22429",19.58
"22430",19.58
"22431",20.5
"22432",20.5
"22433",19.57
"22434",19.57
"22435",23.75
"22436",23.75
"22437",23.21
"22438",23.21
"22439",18.44
"22440",18.44
"22441",23.43
"22442",23.43
"22443",20
"22444",20
"22445",21.12
"22446",21.12
"22447",23.49
"22448",23.49
"22449",20
"22450",20
"22451",20
"22452",20
"22453",22.52
"22454",22.52
"22455",23.98
"22456",23.98
"22457",21.67
"22458",21.67
"22459",23.26
"22460",23.26
"22461",20
"22462",20
"22463",21.75
"22464",21.75
"22465",21.67
"22466",21.67
"22467",22.14
"22468",22.14
"22469",23.41
"22470",23.41
"22471",24.3
"22472",24.3
"22473",21.22
"22474",21.22
"22475",24.42
"22476",24.42
"22477",23.25
"22478",23.25
"22479",21.04
"22480",21.04
"22481",24.67
"22482",24.67
"22483",23.25
"22484",23.25
"22485",23.25
"22486",23.25
"22487",23.82
"22488",23.82
"22489",24.77
"22490",24.77
"22491",25.67
"22492",25.67
"22493",24.31
"22494",24.31
"22495",23.25
"22496",23.25
"22497",21.25
"22498",21.25
"22499",23.17
"22500",23.17
"22501",23
"22502",23
"22503",24.57
"22504",24.57
"22505",23.68
"22506",23.68
"22507",17.67
"22508",17.67
"22509",23.93
"22510",23.93
"22511",21.25
"22512",21.25
"22513",21.27
"22514",21.27
"22515",23.99
"22516",23.99
"22517",21.25
"22518",21.25
"22519",21.25
"22520",21.25
"22521",22.89
"22522",22.89
"22523",24.57
"22524",24.57
"22525",21.67
"22526",21.67
"22527",23.72
"22528",23.72
"22529",21.25
"22530",21.25
"22531",21.17
"22532",21.17
"22533",22.17
"22534",22.17
"22535",20.57
"22536",20.57
"22537",24.03
"22538",24.03
"22539",7.82
"22540",7.33
"22541",7.29
"22542",7.87
"22543",7.33
"22544",7.33
"22545",8.1
"22546",7.57
"22547",7
"22548",7.83
"22549",7.33
"22550",7.17
"22551",7
"22552",7.89
"22553",23.87
"22554",20.33
"22555",21.71
"22556",24.07
"22557",20.33
"22558",20.33
"22559",24.37
"22560",23.42
"22561",22
"22562",23.95
"22563",20.33
"22564",20.17
"22565",22
"22566",24.16
"22567",23.72
"22568",19.11
"22569",23.92
"22570",21.25
"22571",20.88
"22572",24.07
"22573",21.25
"22574",21.25
"22575",23.24
"22576",24.26
"22577",22.67
"22578",23.76
"22579",21.25
"22580",21.08
"22581",22
"22582",21.29
"22583",24.05
"22584",23.25
"22585",23.25
"22586",19.22
"22587",19.22
"22588",23.46
"22589",23.46
"22590",19.25
"22591",19.25
"22592",19.92
"22593",19.92
"22594",23.69
"22595",23.69
"22596",19.25
"22597",19.25
"22598",19.25
"22599",19.25
"22600",23.34
"22601",23.34
"22602",23.23
"22603",23.23
"22604",20.67
"22605",20.67
"22606",23.32
"22607",23.32
"22608",19.25
"22609",19.25
"22610",19.58
"22611",19.58
"22612",20.5
"22613",20.5
"22614",19.57
"22615",19.57
"22616",23.75
"22617",23.75
"22618",23.21
"22619",23.21
"22620",18.44
"22621",18.44
"22622",23.43
"22623",23.43
"22624",20
"22625",20
"22626",21.12
"22627",21.12
"22628",23.49
"22629",23.49
"22630",20
"22631",20
"22632",20
"22633",20
"22634",22.52
"22635",22.52
"22636",23.98
"22637",23.98
"22638",21.67
"22639",21.67
"22640",23.26
"22641",23.26
"22642",20
"22643",20
"22644",21.75
"22645",21.75
"22646",21.67
"22647",21.67
"22648",22.14
"22649",22.14
"22650",23.41
"22651",23.41
"22652",24.3
"22653",24.3
"22654",21.22
"22655",21.22
"22656",24.42
"22657",24.42
"22658",23.25
"22659",23.25
"22660",21.04
"22661",21.04
"22662",24.67
"22663",24.67
"22664",23.25
"22665",23.25
"22666",23.25
"22667",23.25
"22668",23.82
"22669",23.82
"22670",24.77
"22671",24.77
"22672",25.67
"22673",25.67
"22674",24.31
"22675",24.31
"22676",23.25
"22677",23.25
"22678",21.25
"22679",21.25
"22680",23.17
"22681",23.17
"22682",23
"22683",23
"22684",24.57
"22685",24.57
"22686",23.68
"22687",23.68
"22688",17.67
"22689",17.67
"22690",23.93
"22691",23.93
"22692",21.25
"22693",21.25
"22694",21.27
"22695",21.27
"22696",23.99
"22697",23.99
"22698",21.25
"22699",21.25
"22700",21.25
"22701",21.25
"22702",22.89
"22703",22.89
"22704",24.57
"22705",24.57
"22706",21.67
"22707",21.67
"22708",23.72
"22709",23.72
"22710",21.25
"22711",21.25
"22712",21.17
"22713",21.17
"22714",22.17
"22715",22.17
"22716",20.57
"22717",20.57
"22718",24.03
"22719",24.03
"22720",7.82
"22721",7.33
"22722",7.29
"22723",7.87
"22724",7.33
"22725",7.33
"22726",8.1
"22727",7.57
"22728",7
"22729",7.83
"22730",7.33
"22731",7.17
"22732",7
"22733",7.89
"22734",23
"22735",19.17
"22736",23.95
"22737",25
"22738",23
"22739",22.13
"22740",23.93
"22741",22.93
"22742",25
"22743",22.86
"22744",21.6
"22745",23.13
"22746",25
"22747",22.69
"22748",23.04
"22749",22.82
"22750",25
"22751",23.49
"22752",22.51
"22753",22.51
"22754",20.2
"22755",20.2
"22756",23.05
"22757",23.05
"22758",24
"22759",22.12
"22760",22.12
"22761",22.92
"22762",22.92
"22763",22.48
"22764",22.48
"22765",24
"22766",23.2
"22767",23.2
"22768",22.47
"22769",22.47
"22770",21.7
"22771",21.7
"22772",22.6
"22773",22.6
"22774",25
"22775",22.27
"22776",22.27
"22777",22.68
"22778",22.68
"22779",22.42
"22780",22.42
"22781",25
"22782",23
"22783",23
"22784",22.92
"22785",22.92
"22786",20.7
"22787",20.7
"22788",23.4
"22789",23.4
"22790",26
"22791",22.54
"22792",22.54
"22793",23.32
"22794",23.32
"22795",22.86
"22796",22.86
"22797",26
"22798",23.67
"22799",23.67
"22800",22.69
"22801",22.69
"22802",22.7
"22803",22.7
"22804",22.63
"22805",22.63
"22806",25
"22807",22.81
"22808",22.81
"22809",22.56
"22810",22.56
"22811",22.64
"22812",22.64
"22813",25
"22814",23.27
"22815",23.27
"22816",7.34
"22817",6.83
"22818",7.36
"22819",10
"22820",7.34
"22821",7.13
"22822",7.57
"22823",7.25
"22824",10
"22825",23
"22826",19.17
"22827",23.95
"22828",25
"22829",23
"22830",22.13
"22831",23.93
"22832",22.93
"22833",25
"22834",22.86
"22835",21.6
"22836",23.13
"22837",25
"22838",22.69
"22839",23.04
"22840",22.82
"22841",25
"22842",23.49
"22843",22.51
"22844",22.51
"22845",20.2
"22846",20.2
"22847",23.05
"22848",23.05
"22849",24
"22850",22.12
"22851",22.12
"22852",22.92
"22853",22.92
"22854",22.48
"22855",22.48
"22856",24
"22857",23.2
"22858",23.2
"22859",22.47
"22860",22.47
"22861",21.7
"22862",21.7
"22863",22.6
"22864",22.6
"22865",25
"22866",22.27
"22867",22.27
"22868",22.68
"22869",22.68
"22870",22.42
"22871",22.42
"22872",25
"22873",23
"22874",23
"22875",22.92
"22876",22.92
"22877",20.7
"22878",20.7
"22879",23.4
"22880",23.4
"22881",26
"22882",22.54
"22883",22.54
"22884",23.32
"22885",23.32
"22886",22.86
"22887",22.86
"22888",26
"22889",23.67
"22890",23.67
"22891",22.69
"22892",22.69
"22893",22.7
"22894",22.7
"22895",22.63
"22896",22.63
"22897",25
"22898",22.81
"22899",22.81
"22900",22.56
"22901",22.56
"22902",22.64
"22903",22.64
"22904",25
"22905",23.27
"22906",23.27
"22907",7.34
"22908",6.83
"22909",7.36
"22910",10
"22911",7.34
"22912",7.13
"22913",7.57
"22914",7.25
"22915",10
"22916",19.39
"22917",18.17
"22918",20
"22919",19.39
"22920",18.75
"22921",19.9
"22922",19.39
"22923",17.33
"22924",17.33
"22925",16.5
"22926",16.5
"22927",17.75
"22928",17.75
"22929",17.33
"22930",17.33
"22931",17
"22932",17
"22933",17.6
"22934",17.6
"22935",17.33
"22936",17.33
"22937",20.5
"22938",20.5
"22939",18.5
"22940",18.5
"22941",21.5
